Episode,Avg_Reward,Min_Reward,Max_Reward
0,21.882,8.0,75.0
500,22.442,8.0,69.0
1000,22.33,8.0,78.0
1500,22.404,8.0,101.0
2000,21.1,8.0,86.0
2500,21.23,8.0,102.0
3000,22.256,9.0,76.0
3500,22.408,8.0,103.0
4000,21.826,8.0,74.0
4500,22.19,8.0,96.0
5000,21.86,8.0,83.0
5500,21.746,9.0,93.0
6000,22.13,8.0,82.0
6500,22.406,8.0,80.0
7000,21.662,9.0,95.0
7500,21.806,9.0,93.0
8000,21.828,8.0,85.0
8500,21.868,9.0,83.0
9000,22.398,8.0,97.0
9500,21.792,8.0,88.0
10000,184.278,9.0,500.0
10500,179.916,12.0,500.0
11000,190.828,11.0,500.0
11500,199.694,10.0,500.0
12000,211.854,18.0,500.0
12500,187.722,12.0,500.0
13000,167.724,13.0,493.0
13500,187.534,12.0,500.0
14000,192.764,10.0,500.0
14500,196.442,11.0,500.0
15000,236.11,12.0,500.0
15500,209.91,13.0,500.0
16000,217.894,12.0,500.0
16500,237.474,19.0,500.0
17000,231.498,13.0,500.0
17500,234.016,11.0,500.0
18000,219.484,12.0,500.0
18500,219.53,13.0,500.0
19000,252.262,14.0,500.0
19500,277.056,13.0,500.0
20000,312.698,45.0,500.0
20500,313.526,28.0,500.0
21000,337.614,18.0,500.0
21500,363.87,37.0,500.0
22000,327.352,53.0,500.0
22500,329.454,24.0,500.0
23000,365.294,21.0,500.0
23500,332.872,43.0,500.0
24000,308.766,16.0,500.0
24500,302.594,13.0,500.0
25000,312.326,11.0,500.0
25500,313.3,13.0,500.0
26000,304.54,10.0,500.0
26500,310.708,14.0,500.0
27000,304.272,21.0,500.0
27500,279.344,14.0,500.0
28000,304.178,11.0,500.0
28500,307.928,11.0,500.0
29000,272.102,12.0,500.0
29500,344.242,18.0,500.0
30000,319.594,26.0,500.0
30500,300.752,10.0,500.0
31000,269.132,15.0,500.0
31500,352.286,11.0,500.0
32000,355.186,75.0,500.0
32500,389.868,29.0,500.0
33000,345.048,39.0,500.0
33500,385.804,40.0,500.0
34000,335.692,22.0,500.0
34500,259.416,27.0,500.0
35000,327.136,13.0,500.0
35500,262.412,19.0,500.0
36000,324.174,20.0,500.0
36500,348.44,54.0,500.0
37000,329.608,46.0,500.0
37500,312.262,34.0,500.0
38000,318.464,30.0,500.0
38500,331.04,32.0,500.0
39000,235.85,23.0,500.0
39500,277.168,23.0,500.0
40000,333.298,18.0,500.0
40500,338.876,13.0,500.0
41000,286.888,15.0,500.0
41500,313.072,40.0,500.0
42000,315.19,17.0,500.0
42500,270.404,20.0,500.0
43000,296.1,11.0,500.0
43500,302.086,11.0,500.0
44000,207.264,32.0,500.0
44500,325.676,11.0,500.0
45000,316.16,78.0,500.0
45500,306.01,44.0,500.0
46000,224.47,59.0,500.0
46500,270.94,14.0,500.0
47000,344.498,13.0,500.0
47500,299.152,10.0,500.0
48000,394.942,23.0,500.0
48500,315.032,12.0,500.0
49000,287.424,12.0,500.0
49500,316.064,12.0,500.0
