Episode,Avg_Reward,Min_Reward,Max_Reward
0,27.26,8.0,128.0
500,74.156,13.0,264.0
1000,120.882,11.0,346.0
1500,146.622,18.0,439.0
2000,154.546,12.0,384.0
2500,152.642,11.0,420.0
3000,149.986,14.0,419.0
3500,168.256,11.0,500.0
4000,174.318,29.0,500.0
4500,222.986,16.0,500.0
5000,192.852,17.0,500.0
5500,224.238,14.0,500.0
6000,196.508,15.0,500.0
6500,182.09,19.0,500.0
7000,176.806,45.0,500.0
7500,229.912,14.0,500.0
8000,195.752,15.0,500.0
8500,170.58,16.0,500.0
9000,236.488,10.0,500.0
9500,244.482,58.0,500.0
10000,196.088,15.0,500.0
10500,244.488,33.0,500.0
11000,268.188,42.0,500.0
11500,225.558,25.0,500.0
12000,178.444,38.0,500.0
12500,163.332,15.0,371.0
13000,224.362,17.0,500.0
13500,291.618,75.0,500.0
14000,263.682,52.0,500.0
14500,286.988,48.0,500.0
15000,218.914,32.0,500.0
15500,153.596,26.0,500.0
16000,158.73,14.0,392.0
16500,163.178,13.0,500.0
17000,236.214,57.0,500.0
17500,289.312,25.0,500.0
18000,273.246,15.0,500.0
18500,307.064,12.0,500.0
19000,260.548,38.0,500.0
19500,248.036,15.0,500.0
20000,290.302,49.0,500.0
20500,301.384,80.0,500.0
21000,325.146,122.0,500.0
21500,324.382,10.0,500.0
22000,307.266,19.0,500.0
22500,300.248,44.0,500.0
23000,283.616,24.0,500.0
23500,262.374,37.0,500.0
24000,271.828,36.0,500.0
24500,273.102,43.0,500.0
25000,222.784,24.0,500.0
25500,238.818,34.0,500.0
26000,248.654,17.0,500.0
26500,250.15,104.0,500.0
27000,229.402,12.0,500.0
27500,250.76,28.0,500.0
28000,263.174,16.0,500.0
28500,265.356,28.0,434.0
29000,267.902,49.0,500.0
29500,234.484,34.0,500.0
30000,252.588,13.0,500.0
30500,307.774,108.0,500.0
31000,305.412,108.0,500.0
31500,299.058,96.0,500.0
32000,295.184,15.0,500.0
32500,329.134,14.0,500.0
33000,290.414,111.0,500.0
33500,260.504,107.0,500.0
34000,250.404,95.0,500.0
34500,261.18,12.0,500.0
35000,302.112,12.0,500.0
35500,291.55,15.0,500.0
36000,236.46,12.0,500.0
36500,273.892,17.0,500.0
37000,282.21,99.0,500.0
37500,238.578,11.0,500.0
38000,192.45,83.0,500.0
38500,196.07,12.0,500.0
39000,229.958,51.0,500.0
39500,230.58,62.0,500.0
40000,275.616,72.0,500.0
40500,283.742,74.0,500.0
41000,263.84,22.0,500.0
41500,208.596,85.0,500.0
42000,253.342,14.0,500.0
42500,351.084,17.0,500.0
43000,325.114,77.0,500.0
43500,250.436,30.0,500.0
44000,277.72,13.0,500.0
44500,277.904,35.0,500.0
45000,276.846,115.0,500.0
45500,258.382,16.0,500.0
46000,252.022,15.0,500.0
46500,268.154,87.0,475.0
47000,224.97,26.0,500.0
47500,231.462,30.0,500.0
48000,262.366,13.0,500.0
48500,210.094,12.0,500.0
49000,311.334,21.0,500.0
49500,320.152,29.0,500.0
