Episode,Avg_Reward,Min_Reward,Max_Reward
0,21.194,9.0,96.0
500,21.834,8.0,96.0
1000,22.338,9.0,71.0
1500,22.54,9.0,85.0
2000,22.096,8.0,73.0
2500,23.722,8.0,89.0
3000,23.032,8.0,91.0
3500,24.13,8.0,113.0
4000,23.5,9.0,101.0
4500,24.02,8.0,79.0
5000,25.476,9.0,112.0
5500,25.84,8.0,95.0
6000,27.14,8.0,126.0
6500,27.218,8.0,102.0
7000,29.082,8.0,108.0
7500,32.682,8.0,126.0
8000,32.272,8.0,129.0
8500,35.186,9.0,139.0
9000,37.202,9.0,149.0
9500,38.532,9.0,184.0
10000,41.326,9.0,133.0
10500,47.042,9.0,251.0
11000,47.182,9.0,197.0
11500,53.626,9.0,225.0
12000,57.768,9.0,233.0
12500,57.606,9.0,259.0
13000,62.414,9.0,238.0
13500,72.148,8.0,251.0
14000,79.022,9.0,310.0
14500,89.866,9.0,291.0
15000,93.978,10.0,416.0
15500,101.784,10.0,399.0
16000,107.322,9.0,492.0
16500,123.998,10.0,498.0
17000,135.978,10.0,500.0
17500,144.664,9.0,500.0
18000,150.138,10.0,500.0
18500,161.186,11.0,500.0
19000,176.736,10.0,500.0
19500,178.684,9.0,500.0
20000,195.666,12.0,500.0
20500,233.796,11.0,500.0
21000,256.16,13.0,500.0
21500,279.782,11.0,500.0
22000,245.658,13.0,500.0
22500,278.392,11.0,500.0
23000,257.958,10.0,500.0
23500,277.496,10.0,500.0
24000,325.32,9.0,500.0
24500,309.562,39.0,500.0
25000,290.404,12.0,500.0
25500,257.61,34.0,500.0
26000,293.09,11.0,500.0
26500,280.486,55.0,500.0
27000,212.576,25.0,500.0
27500,224.492,49.0,500.0
28000,277.458,11.0,500.0
28500,164.136,14.0,500.0
29000,280.67,53.0,500.0
29500,336.74,15.0,500.0
30000,277.56,32.0,500.0
30500,317.556,38.0,500.0
31000,258.782,16.0,500.0
31500,258.708,14.0,500.0
32000,219.754,33.0,500.0
32500,314.586,11.0,500.0
33000,327.434,63.0,500.0
33500,296.74,29.0,500.0
34000,294.364,51.0,500.0
34500,340.206,15.0,500.0
35000,286.672,18.0,500.0
35500,352.9,14.0,500.0
36000,361.646,22.0,500.0
36500,377.49,15.0,500.0
37000,362.572,11.0,500.0
37500,374.33,99.0,500.0
38000,286.866,22.0,500.0
38500,339.61,14.0,500.0
39000,315.752,18.0,500.0
39500,265.73,55.0,500.0
40000,264.9,22.0,500.0
40500,312.694,15.0,500.0
41000,261.964,63.0,500.0
41500,330.624,12.0,500.0
42000,335.92,13.0,500.0
42500,347.602,24.0,500.0
43000,310.896,14.0,500.0
43500,367.954,14.0,500.0
44000,332.616,12.0,500.0
44500,313.366,16.0,500.0
45000,281.732,15.0,500.0
45500,312.218,14.0,500.0
46000,316.338,15.0,500.0
46500,224.648,17.0,500.0
47000,290.246,55.0,500.0
47500,339.222,11.0,500.0
48000,405.382,32.0,500.0
48500,347.57,45.0,500.0
49000,286.91,40.0,500.0
49500,308.108,12.0,500.0
