Episode,Avg_Reward,Min_Reward,Max_Reward
0,24.488,9.0,88.0
500,28.686,8.0,119.0
1000,35.962,9.0,133.0
1500,48.734,11.0,197.0
2000,58.138,9.0,203.0
2500,84.416,9.0,308.0
3000,92.822,9.0,431.0
3500,121.286,9.0,500.0
4000,144.166,10.0,500.0
4500,143.334,11.0,500.0
5000,153.558,11.0,500.0
5500,199.318,12.0,500.0
6000,207.87,10.0,500.0
6500,201.36,12.0,500.0
7000,232.29,13.0,500.0
7500,236.376,12.0,500.0
8000,236.196,12.0,500.0
8500,241.134,13.0,500.0
9000,246.176,13.0,500.0
9500,254.036,10.0,500.0
10000,238.478,10.0,500.0
10500,235.292,16.0,500.0
11000,233.016,32.0,500.0
11500,238.518,60.0,500.0
12000,269.424,11.0,500.0
12500,230.446,13.0,500.0
13000,262.05,15.0,500.0
13500,277.024,11.0,500.0
14000,286.794,18.0,500.0
14500,287.27,15.0,500.0
15000,255.808,11.0,455.0
15500,227.386,89.0,500.0
16000,225.104,12.0,500.0
16500,227.994,60.0,500.0
17000,213.902,58.0,471.0
17500,221.78,25.0,500.0
18000,319.734,15.0,500.0
18500,289.212,16.0,500.0
19000,206.118,47.0,500.0
19500,285.152,25.0,500.0
20000,283.02,11.0,500.0
20500,219.684,17.0,500.0
21000,250.432,9.0,500.0
21500,292.058,25.0,500.0
22000,312.314,16.0,500.0
22500,358.972,23.0,500.0
23000,372.486,13.0,500.0
23500,393.458,11.0,500.0
24000,322.018,25.0,500.0
24500,354.412,23.0,500.0
25000,385.53,55.0,500.0
25500,323.504,26.0,500.0
26000,322.43,139.0,500.0
26500,265.004,105.0,488.0
27000,273.216,80.0,500.0
27500,285.366,102.0,500.0
28000,325.928,82.0,500.0
28500,336.052,14.0,500.0
29000,373.412,16.0,500.0
29500,326.724,110.0,500.0
30000,293.696,124.0,500.0
30500,254.002,73.0,500.0
31000,235.778,59.0,500.0
31500,263.81,57.0,500.0
32000,329.72,119.0,500.0
32500,304.972,113.0,487.0
33000,285.116,21.0,500.0
33500,285.71,115.0,500.0
34000,220.592,53.0,500.0
34500,268.802,62.0,500.0
35000,343.62,137.0,500.0
35500,365.412,28.0,500.0
36000,348.652,32.0,500.0
36500,376.58,39.0,500.0
37000,360.394,25.0,500.0
37500,337.684,23.0,500.0
38000,306.242,38.0,500.0
38500,387.61,12.0,500.0
39000,371.604,38.0,500.0
39500,381.868,131.0,500.0
40000,334.294,74.0,500.0
40500,239.432,77.0,500.0
41000,256.612,55.0,500.0
41500,296.568,23.0,500.0
42000,286.858,38.0,500.0
42500,225.306,55.0,500.0
43000,350.674,13.0,500.0
43500,339.946,26.0,500.0
44000,306.72,91.0,500.0
44500,312.232,87.0,500.0
45000,395.226,137.0,500.0
45500,392.324,44.0,500.0
46000,370.224,16.0,500.0
46500,320.292,14.0,500.0
47000,328.802,96.0,500.0
47500,306.904,111.0,500.0
48000,308.96,70.0,500.0
48500,305.494,24.0,500.0
49000,294.736,14.0,455.0
49500,301.414,15.0,500.0
