Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-200.0,-200.0,-200.0
5000,-200.0,-200.0,-200.0
5500,-200.0,-200.0,-200.0
6000,-200.0,-200.0,-200.0
6500,-200.0,-200.0,-200.0
7000,-200.0,-200.0,-200.0
7500,-200.0,-200.0,-200.0
8000,-200.0,-200.0,-200.0
8500,-200.0,-200.0,-200.0
9000,-200.0,-200.0,-200.0
9500,-200.0,-200.0,-200.0
10000,-200.0,-200.0,-200.0
10500,-200.0,-200.0,-200.0
11000,-200.0,-200.0,-200.0
11500,-200.0,-200.0,-200.0
12000,-200.0,-200.0,-200.0
12500,-200.0,-200.0,-200.0
13000,-200.0,-200.0,-200.0
13500,-199.938,-200.0,-169.0
14000,-199.9,-200.0,-168.0
14500,-199.826,-200.0,-165.0
15000,-199.692,-200.0,-171.0
15500,-199.856,-200.0,-169.0
16000,-199.406,-200.0,-163.0
16500,-199.248,-200.0,-163.0
17000,-198.32,-200.0,-152.0
17500,-198.366,-200.0,-158.0
18000,-198.966,-200.0,-157.0
18500,-196.412,-200.0,-153.0
19000,-194.962,-200.0,-151.0
19500,-195.178,-200.0,-126.0
20000,-192.77,-200.0,-153.0
20500,-192.386,-200.0,-137.0
21000,-192.212,-200.0,-152.0
21500,-185.1,-200.0,-122.0
22000,-187.576,-200.0,-146.0
22500,-188.296,-200.0,-142.0
23000,-181.034,-200.0,-114.0
23500,-183.25,-200.0,-145.0
24000,-181.422,-200.0,-124.0
24500,-179.832,-200.0,-124.0
25000,-177.254,-200.0,-117.0
25500,-181.15,-200.0,-136.0
26000,-166.434,-200.0,-101.0
26500,-172.832,-200.0,-122.0
27000,-178.798,-200.0,-116.0
27500,-162.068,-200.0,-112.0
28000,-165.298,-200.0,-111.0
28500,-167.748,-200.0,-106.0
29000,-146.918,-200.0,-91.0
29500,-159.232,-200.0,-92.0
30000,-173.33,-200.0,-114.0
30500,-151.652,-200.0,-118.0
31000,-144.256,-200.0,-99.0
31500,-167.31,-200.0,-98.0
32000,-167.192,-200.0,-109.0
32500,-158.362,-200.0,-110.0
33000,-140.104,-200.0,-110.0
33500,-142.918,-200.0,-113.0
34000,-161.482,-200.0,-115.0
34500,-154.778,-200.0,-94.0
35000,-140.872,-200.0,-106.0
35500,-133.732,-200.0,-110.0
36000,-138.404,-181.0,-114.0
36500,-131.532,-162.0,-114.0
37000,-152.548,-200.0,-110.0
37500,-153.756,-200.0,-113.0
38000,-140.768,-200.0,-110.0
38500,-143.998,-200.0,-110.0
39000,-151.68,-200.0,-109.0
39500,-159.842,-200.0,-112.0
40000,-152.776,-200.0,-112.0
40500,-154.226,-200.0,-112.0
41000,-132.724,-200.0,-111.0
41500,-129.356,-200.0,-111.0
42000,-131.72,-194.0,-111.0
42500,-135.652,-164.0,-112.0
43000,-135.068,-146.0,-111.0
43500,-135.768,-148.0,-112.0
44000,-140.658,-200.0,-113.0
44500,-154.28,-200.0,-113.0
45000,-146.414,-200.0,-113.0
45500,-136.292,-200.0,-111.0
46000,-131.532,-165.0,-112.0
46500,-130.112,-157.0,-113.0
47000,-130.61,-158.0,-114.0
47500,-132.06,-175.0,-112.0
48000,-150.96,-200.0,-112.0
48500,-164.858,-200.0,-119.0
49000,-151.974,-200.0,-111.0
49500,-133.852,-189.0,-111.0
