Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-199.998,-200.0,-199.0
1000,-198.634,-200.0,-160.0
1500,-195.04,-200.0,-153.0
2000,-192.188,-200.0,-126.0
2500,-189.878,-200.0,-143.0
3000,-175.722,-200.0,-115.0
3500,-181.508,-200.0,-121.0
4000,-181.39,-200.0,-118.0
4500,-168.58,-200.0,-111.0
5000,-175.734,-200.0,-140.0
5500,-170.424,-200.0,-117.0
6000,-170.906,-200.0,-120.0
6500,-175.828,-200.0,-143.0
7000,-172.56,-200.0,-114.0
7500,-169.884,-200.0,-121.0
8000,-168.512,-200.0,-112.0
8500,-181.436,-200.0,-113.0
9000,-171.54,-200.0,-111.0
9500,-163.182,-200.0,-95.0
10000,-162.786,-200.0,-105.0
10500,-172.224,-200.0,-118.0
11000,-163.842,-200.0,-108.0
11500,-177.848,-200.0,-120.0
12000,-157.448,-200.0,-108.0
12500,-164.056,-200.0,-112.0
13000,-171.4,-200.0,-106.0
13500,-172.358,-200.0,-113.0
14000,-162.536,-200.0,-111.0
14500,-167.87,-200.0,-113.0
15000,-176.116,-200.0,-116.0
15500,-168.076,-200.0,-110.0
16000,-162.856,-200.0,-114.0
16500,-164.434,-200.0,-110.0
17000,-171.278,-200.0,-109.0
17500,-166.316,-200.0,-113.0
18000,-159.454,-200.0,-109.0
18500,-167.352,-200.0,-115.0
19000,-171.908,-200.0,-118.0
19500,-174.22,-200.0,-116.0
20000,-167.936,-200.0,-111.0
20500,-162.694,-200.0,-110.0
21000,-167.046,-200.0,-112.0
21500,-167.822,-200.0,-108.0
22000,-174.962,-200.0,-112.0
22500,-168.29,-200.0,-113.0
23000,-168.698,-200.0,-121.0
23500,-160.416,-200.0,-111.0
24000,-171.936,-200.0,-117.0
24500,-173.058,-200.0,-118.0
25000,-164.016,-200.0,-113.0
25500,-166.286,-200.0,-114.0
26000,-175.964,-200.0,-119.0
26500,-172.368,-200.0,-112.0
27000,-168.458,-200.0,-117.0
27500,-171.678,-200.0,-117.0
28000,-164.996,-200.0,-112.0
28500,-169.58,-200.0,-113.0
29000,-162.836,-200.0,-118.0
29500,-178.61,-200.0,-117.0
30000,-169.306,-200.0,-115.0
30500,-166.288,-200.0,-115.0
31000,-162.42,-200.0,-108.0
31500,-167.238,-200.0,-110.0
32000,-171.482,-200.0,-124.0
32500,-163.972,-200.0,-110.0
33000,-151.8,-200.0,-90.0
33500,-167.384,-200.0,-101.0
34000,-170.108,-200.0,-115.0
34500,-162.178,-200.0,-113.0
35000,-168.762,-200.0,-103.0
35500,-164.192,-200.0,-116.0
36000,-153.846,-200.0,-110.0
36500,-157.81,-200.0,-92.0
37000,-172.172,-200.0,-112.0
37500,-169.998,-200.0,-118.0
38000,-160.252,-200.0,-114.0
38500,-158.456,-200.0,-112.0
39000,-168.112,-200.0,-110.0
39500,-169.568,-200.0,-113.0
40000,-171.854,-200.0,-120.0
40500,-157.832,-200.0,-96.0
41000,-166.286,-200.0,-101.0
41500,-168.896,-200.0,-103.0
42000,-160.618,-200.0,-111.0
42500,-162.608,-200.0,-95.0
43000,-168.578,-200.0,-122.0
43500,-163.066,-200.0,-112.0
44000,-169.338,-200.0,-103.0
44500,-166.922,-200.0,-93.0
45000,-160.904,-200.0,-111.0
45500,-171.078,-200.0,-113.0
46000,-162.292,-200.0,-112.0
46500,-163.532,-200.0,-113.0
47000,-167.918,-200.0,-113.0
47500,-166.28,-200.0,-120.0
48000,-162.174,-200.0,-112.0
48500,-164.464,-200.0,-110.0
49000,-166.79,-200.0,-116.0
49500,-168.514,-200.0,-116.0
