Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-200.0,-200.0,-200.0
5000,-200.0,-200.0,-200.0
5500,-200.0,-200.0,-200.0
6000,-200.0,-200.0,-200.0
6500,-200.0,-200.0,-200.0
7000,-200.0,-200.0,-200.0
7500,-200.0,-200.0,-200.0
8000,-200.0,-200.0,-200.0
8500,-200.0,-200.0,-200.0
9000,-200.0,-200.0,-200.0
9500,-200.0,-200.0,-200.0
10000,-200.0,-200.0,-200.0
10500,-200.0,-200.0,-200.0
11000,-200.0,-200.0,-200.0
11500,-200.0,-200.0,-200.0
12000,-200.0,-200.0,-200.0
12500,-200.0,-200.0,-200.0
13000,-200.0,-200.0,-200.0
13500,-200.0,-200.0,-200.0
14000,-200.0,-200.0,-200.0
14500,-199.996,-200.0,-198.0
15000,-199.884,-200.0,-170.0
15500,-200.0,-200.0,-200.0
16000,-199.67,-200.0,-167.0
16500,-199.244,-200.0,-161.0
17000,-196.824,-200.0,-154.0
17500,-197.938,-200.0,-131.0
18000,-196.472,-200.0,-154.0
18500,-194.072,-200.0,-147.0
19000,-193.344,-200.0,-154.0
19500,-190.284,-200.0,-145.0
20000,-185.776,-200.0,-136.0
20500,-187.602,-200.0,-128.0
21000,-185.204,-200.0,-117.0
21500,-182.076,-200.0,-116.0
22000,-176.83,-200.0,-125.0
22500,-169.864,-200.0,-112.0
23000,-175.492,-200.0,-143.0
23500,-168.466,-200.0,-115.0
24000,-158.386,-200.0,-109.0
24500,-169.708,-200.0,-115.0
25000,-162.716,-200.0,-88.0
25500,-166.346,-200.0,-116.0
26000,-156.178,-200.0,-110.0
26500,-177.214,-200.0,-112.0
27000,-161.244,-200.0,-112.0
27500,-157.266,-200.0,-99.0
28000,-158.434,-200.0,-118.0
28500,-142.074,-200.0,-116.0
29000,-134.16,-200.0,-115.0
29500,-135.272,-200.0,-116.0
30000,-176.024,-200.0,-115.0
30500,-151.594,-200.0,-112.0
31000,-155.646,-200.0,-125.0
31500,-139.702,-200.0,-110.0
32000,-135.388,-173.0,-110.0
32500,-134.508,-173.0,-110.0
33000,-129.942,-163.0,-110.0
33500,-131.724,-163.0,-110.0
34000,-136.914,-200.0,-111.0
34500,-163.998,-200.0,-108.0
35000,-133.87,-193.0,-109.0
35500,-128.38,-200.0,-108.0
36000,-125.906,-198.0,-109.0
36500,-173.982,-200.0,-109.0
37000,-164.538,-200.0,-111.0
37500,-155.182,-200.0,-112.0
38000,-150.59,-200.0,-111.0
38500,-146.136,-200.0,-102.0
39000,-144.834,-200.0,-115.0
39500,-155.29,-200.0,-120.0
40000,-148.346,-199.0,-118.0
40500,-164.334,-200.0,-119.0
41000,-172.31,-200.0,-113.0
41500,-139.492,-189.0,-109.0
42000,-138.412,-152.0,-109.0
42500,-139.83,-155.0,-109.0
43000,-140.194,-181.0,-109.0
43500,-139.404,-176.0,-109.0
44000,-141.586,-200.0,-111.0
44500,-146.526,-200.0,-113.0
45000,-152.89,-200.0,-116.0
45500,-176.92,-200.0,-118.0
46000,-169.514,-200.0,-123.0
46500,-145.564,-200.0,-112.0
47000,-160.87,-200.0,-110.0
47500,-140.32,-191.0,-111.0
48000,-133.096,-200.0,-112.0
48500,-132.696,-154.0,-112.0
49000,-132.274,-163.0,-112.0
49500,-133.24,-181.0,-113.0
