Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-199.946,-200.0,-173.0
3500,-199.904,-200.0,-165.0
4000,-199.284,-200.0,-157.0
4500,-198.072,-200.0,-156.0
5000,-197.55,-200.0,-152.0
5500,-194.682,-200.0,-151.0
6000,-188.138,-200.0,-150.0
6500,-187.358,-200.0,-121.0
7000,-189.494,-200.0,-146.0
7500,-182.27,-200.0,-144.0
8000,-176.914,-200.0,-115.0
8500,-174.626,-200.0,-118.0
9000,-174.516,-200.0,-119.0
9500,-168.706,-200.0,-114.0
10000,-171.322,-200.0,-106.0
10500,-174.966,-200.0,-110.0
11000,-174.658,-200.0,-113.0
11500,-168.95,-200.0,-91.0
12000,-170.42,-200.0,-115.0
12500,-163.376,-200.0,-117.0
13000,-162.546,-200.0,-113.0
13500,-164.376,-200.0,-114.0
14000,-157.694,-200.0,-114.0
14500,-167.118,-200.0,-117.0
15000,-154.214,-200.0,-114.0
15500,-160.99,-200.0,-113.0
16000,-135.904,-200.0,-84.0
16500,-163.764,-200.0,-90.0
17000,-158.866,-200.0,-115.0
17500,-141.832,-200.0,-111.0
18000,-137.7,-200.0,-110.0
18500,-155.13,-200.0,-106.0
19000,-157.428,-200.0,-115.0
19500,-148.378,-200.0,-110.0
20000,-145.692,-200.0,-111.0
20500,-145.22,-200.0,-109.0
21000,-158.172,-200.0,-108.0
21500,-136.088,-199.0,-108.0
22000,-132.516,-172.0,-109.0
22500,-131.094,-168.0,-110.0
23000,-139.806,-199.0,-111.0
23500,-143.562,-200.0,-113.0
24000,-161.34,-200.0,-116.0
24500,-141.702,-200.0,-113.0
25000,-156.254,-200.0,-111.0
25500,-153.87,-200.0,-111.0
26000,-140.196,-194.0,-109.0
26500,-141.918,-195.0,-107.0
27000,-145.02,-200.0,-110.0
27500,-147.24,-200.0,-108.0
28000,-156.298,-200.0,-119.0
28500,-146.096,-200.0,-121.0
29000,-145.802,-200.0,-111.0
29500,-149.192,-200.0,-106.0
30000,-151.46,-200.0,-108.0
30500,-156.48,-200.0,-125.0
31000,-145.498,-200.0,-110.0
31500,-154.53,-200.0,-132.0
32000,-149.464,-200.0,-104.0
32500,-161.098,-200.0,-111.0
33000,-158.962,-200.0,-93.0
33500,-152.636,-200.0,-104.0
34000,-147.206,-200.0,-106.0
34500,-158.136,-200.0,-104.0
35000,-142.856,-200.0,-115.0
35500,-138.826,-171.0,-115.0
36000,-133.104,-156.0,-114.0
36500,-133.28,-165.0,-115.0
37000,-132.748,-164.0,-113.0
37500,-132.066,-157.0,-114.0
38000,-143.644,-200.0,-113.0
38500,-152.198,-200.0,-125.0
39000,-170.412,-200.0,-127.0
39500,-159.616,-200.0,-110.0
40000,-173.792,-200.0,-110.0
40500,-162.94,-200.0,-116.0
41000,-165.266,-200.0,-116.0
41500,-159.496,-200.0,-123.0
42000,-153.412,-200.0,-104.0
42500,-157.984,-200.0,-122.0
43000,-153.398,-200.0,-108.0
43500,-151.298,-200.0,-108.0
44000,-151.076,-200.0,-111.0
44500,-151.966,-200.0,-112.0
45000,-147.528,-196.0,-109.0
45500,-146.334,-196.0,-108.0
46000,-143.182,-200.0,-108.0
46500,-138.762,-187.0,-109.0
47000,-138.082,-189.0,-108.0
47500,-138.272,-200.0,-110.0
48000,-136.604,-191.0,-108.0
48500,-149.294,-200.0,-107.0
49000,-153.87,-200.0,-112.0
49500,-136.944,-191.0,-115.0
