Episode,Reward,Epsilon
0,-200.0,1.0
1,-200.0,0.999967
2,-200.0,0.999934
3,-200.0,0.999901
4,-200.0,0.999868
5,-200.0,0.999835
6,-200.0,0.999802
7,-200.0,0.999769
8,-200.0,0.999736
9,-200.0,0.999703
10,-200.0,0.99967
11,-200.0,0.999637
12,-200.0,0.999604
13,-200.0,0.999571
14,-200.0,0.999538
15,-200.0,0.999505
16,-200.0,0.999472
17,-200.0,0.999439
18,-200.0,0.999406
19,-200.0,0.999373
20,-200.0,0.99934
21,-200.0,0.999307
22,-200.0,0.999274
23,-200.0,0.999241
24,-200.0,0.999208
25,-200.0,0.999175
26,-200.0,0.999142
27,-200.0,0.999109
28,-200.0,0.999076
29,-200.0,0.999043
30,-200.0,0.99901
31,-200.0,0.998977
32,-200.0,0.998944
33,-200.0,0.998911
34,-200.0,0.998878
35,-200.0,0.998845
36,-200.0,0.998812
37,-200.0,0.998779
38,-200.0,0.998746
39,-200.0,0.998713
40,-200.0,0.99868
41,-200.0,0.998647
42,-200.0,0.998614
43,-200.0,0.998581
44,-200.0,0.998548
45,-200.0,0.998515
46,-200.0,0.998482
47,-200.0,0.998449
48,-200.0,0.998416
49,-200.0,0.998383
50,-200.0,0.99835
51,-200.0,0.998317
52,-200.0,0.998284
53,-200.0,0.998251
54,-200.0,0.998218
55,-200.0,0.998185
56,-200.0,0.998152
57,-200.0,0.998119
58,-200.0,0.998086
59,-200.0,0.998053
60,-200.0,0.99802
61,-200.0,0.997987
62,-200.0,0.997954
63,-200.0,0.997921
64,-200.0,0.997888
65,-200.0,0.997855
66,-200.0,0.997822
67,-200.0,0.997789
68,-200.0,0.997756
69,-200.0,0.997723
70,-200.0,0.99769
71,-200.0,0.997657
72,-200.0,0.997624
73,-200.0,0.997591
74,-200.0,0.997558
75,-200.0,0.997525
76,-200.0,0.997492
77,-200.0,0.997459
78,-200.0,0.997426
79,-200.0,0.997393
80,-200.0,0.99736
81,-200.0,0.997327
82,-200.0,0.997294
83,-200.0,0.997261
84,-200.0,0.997228
85,-200.0,0.997195
86,-200.0,0.997162
87,-200.0,0.997129
88,-200.0,0.997096
89,-200.0,0.997063
90,-200.0,0.99703
91,-200.0,0.996997
92,-200.0,0.996964
93,-200.0,0.996931
94,-200.0,0.996898
95,-200.0,0.996865
96,-200.0,0.996832
97,-200.0,0.996799
98,-200.0,0.996766
99,-200.0,0.996733
100,-200.0,0.9967
101,-200.0,0.996667
102,-200.0,0.996634
103,-200.0,0.996601
104,-200.0,0.996568
105,-200.0,0.996535
106,-200.0,0.996502
107,-200.0,0.996469
108,-200.0,0.996436
109,-200.0,0.996403
110,-200.0,0.99637
111,-200.0,0.996337
112,-200.0,0.996304
113,-200.0,0.996271
114,-200.0,0.996238
115,-200.0,0.996205
116,-200.0,0.996172
117,-200.0,0.996139
118,-200.0,0.996106
119,-200.0,0.996073
120,-200.0,0.99604
121,-200.0,0.996007
122,-200.0,0.995974
123,-200.0,0.995941
124,-200.0,0.995908
125,-200.0,0.995875
126,-200.0,0.995842
127,-200.0,0.9958089999999999
128,-200.0,0.995776
129,-200.0,0.995743
130,-200.0,0.99571
131,-200.0,0.995677
132,-200.0,0.995644
133,-200.0,0.995611
134,-200.0,0.995578
135,-200.0,0.995545
136,-200.0,0.995512
137,-200.0,0.995479
138,-200.0,0.995446
139,-200.0,0.995413
140,-200.0,0.99538
141,-200.0,0.995347
142,-200.0,0.995314
143,-200.0,0.995281
144,-200.0,0.995248
145,-200.0,0.995215
146,-200.0,0.995182
147,-200.0,0.995149
148,-200.0,0.995116
149,-200.0,0.995083
150,-200.0,0.99505
151,-200.0,0.995017
152,-200.0,0.994984
153,-200.0,0.994951
154,-200.0,0.994918
155,-200.0,0.994885
156,-200.0,0.994852
157,-200.0,0.994819
158,-200.0,0.994786
159,-200.0,0.994753
160,-200.0,0.99472
161,-200.0,0.994687
162,-200.0,0.994654
163,-200.0,0.994621
164,-200.0,0.994588
165,-200.0,0.994555
166,-200.0,0.994522
167,-200.0,0.994489
168,-200.0,0.994456
169,-200.0,0.994423
170,-200.0,0.99439
171,-200.0,0.994357
172,-200.0,0.994324
173,-200.0,0.994291
174,-200.0,0.994258
175,-200.0,0.994225
176,-200.0,0.994192
177,-200.0,0.994159
178,-200.0,0.994126
179,-200.0,0.994093
180,-200.0,0.9940599999999999
181,-200.0,0.994027
182,-200.0,0.993994
183,-200.0,0.993961
184,-200.0,0.993928
185,-200.0,0.993895
186,-200.0,0.993862
187,-200.0,0.993829
188,-200.0,0.993796
189,-200.0,0.993763
190,-200.0,0.99373
191,-200.0,0.993697
192,-200.0,0.993664
193,-200.0,0.993631
194,-200.0,0.993598
195,-200.0,0.993565
196,-200.0,0.993532
197,-200.0,0.993499
198,-200.0,0.993466
199,-200.0,0.993433
200,-200.0,0.9934
201,-200.0,0.993367
202,-200.0,0.993334
203,-200.0,0.993301
204,-200.0,0.993268
205,-200.0,0.993235
206,-200.0,0.993202
207,-200.0,0.993169
208,-200.0,0.993136
209,-200.0,0.993103
210,-200.0,0.99307
211,-200.0,0.993037
212,-200.0,0.993004
213,-200.0,0.992971
214,-200.0,0.992938
215,-200.0,0.992905
216,-200.0,0.992872
217,-200.0,0.992839
218,-200.0,0.992806
219,-200.0,0.992773
220,-200.0,0.99274
221,-200.0,0.992707
222,-200.0,0.992674
223,-200.0,0.992641
224,-200.0,0.992608
225,-200.0,0.992575
226,-200.0,0.992542
227,-200.0,0.992509
228,-200.0,0.992476
229,-200.0,0.992443
230,-200.0,0.99241
231,-200.0,0.992377
232,-200.0,0.992344
233,-200.0,0.992311
234,-200.0,0.992278
235,-200.0,0.992245
236,-200.0,0.992212
237,-200.0,0.992179
238,-200.0,0.992146
239,-200.0,0.992113
240,-200.0,0.99208
241,-200.0,0.992047
242,-200.0,0.992014
243,-200.0,0.991981
244,-200.0,0.991948
245,-200.0,0.991915
246,-200.0,0.991882
247,-200.0,0.991849
248,-200.0,0.991816
249,-200.0,0.991783
250,-200.0,0.99175
251,-200.0,0.991717
252,-200.0,0.991684
253,-200.0,0.991651
254,-200.0,0.991618
255,-200.0,0.991585
256,-200.0,0.991552
257,-200.0,0.991519
258,-200.0,0.991486
259,-200.0,0.991453
260,-200.0,0.99142
261,-200.0,0.991387
262,-200.0,0.991354
263,-200.0,0.991321
264,-200.0,0.991288
265,-200.0,0.991255
266,-200.0,0.991222
267,-200.0,0.991189
268,-200.0,0.991156
269,-200.0,0.991123
270,-200.0,0.99109
271,-200.0,0.991057
272,-200.0,0.991024
273,-200.0,0.990991
274,-200.0,0.990958
275,-200.0,0.990925
276,-200.0,0.990892
277,-200.0,0.990859
278,-200.0,0.990826
279,-200.0,0.990793
280,-200.0,0.99076
281,-200.0,0.990727
282,-200.0,0.990694
283,-200.0,0.990661
284,-200.0,0.990628
285,-200.0,0.990595
286,-200.0,0.990562
287,-200.0,0.990529
288,-200.0,0.990496
289,-200.0,0.990463
290,-200.0,0.99043
291,-200.0,0.990397
292,-200.0,0.990364
293,-200.0,0.990331
294,-200.0,0.990298
295,-200.0,0.990265
296,-200.0,0.990232
297,-200.0,0.990199
298,-200.0,0.990166
299,-200.0,0.990133
300,-200.0,0.9901
301,-200.0,0.990067
302,-200.0,0.990034
303,-200.0,0.990001
304,-200.0,0.989968
305,-200.0,0.989935
306,-200.0,0.989902
307,-200.0,0.989869
308,-200.0,0.989836
309,-200.0,0.989803
310,-200.0,0.98977
311,-200.0,0.989737
312,-200.0,0.989704
313,-200.0,0.989671
314,-200.0,0.989638
315,-200.0,0.989605
316,-200.0,0.989572
317,-200.0,0.989539
318,-200.0,0.989506
319,-200.0,0.989473
320,-200.0,0.98944
321,-200.0,0.989407
322,-200.0,0.989374
323,-200.0,0.989341
324,-200.0,0.989308
325,-200.0,0.989275
326,-200.0,0.989242
327,-200.0,0.989209
328,-200.0,0.989176
329,-200.0,0.989143
330,-200.0,0.98911
331,-200.0,0.989077
332,-200.0,0.989044
333,-200.0,0.989011
334,-200.0,0.988978
335,-200.0,0.988945
336,-200.0,0.988912
337,-200.0,0.988879
338,-200.0,0.988846
339,-200.0,0.988813
340,-200.0,0.98878
341,-200.0,0.988747
342,-200.0,0.988714
343,-200.0,0.988681
344,-200.0,0.988648
345,-200.0,0.988615
346,-200.0,0.988582
347,-200.0,0.988549
348,-200.0,0.988516
349,-200.0,0.988483
350,-200.0,0.98845
351,-200.0,0.988417
352,-200.0,0.988384
353,-200.0,0.988351
354,-200.0,0.988318
355,-200.0,0.988285
356,-200.0,0.988252
357,-200.0,0.988219
358,-200.0,0.988186
359,-200.0,0.988153
360,-200.0,0.98812
361,-200.0,0.988087
362,-200.0,0.988054
363,-200.0,0.988021
364,-200.0,0.987988
365,-200.0,0.987955
366,-200.0,0.987922
367,-200.0,0.987889
368,-200.0,0.987856
369,-200.0,0.987823
370,-200.0,0.98779
371,-200.0,0.987757
372,-200.0,0.987724
373,-200.0,0.987691
374,-200.0,0.987658
375,-200.0,0.987625
376,-200.0,0.987592
377,-200.0,0.987559
378,-200.0,0.987526
379,-200.0,0.987493
380,-200.0,0.98746
381,-200.0,0.987427
382,-200.0,0.987394
383,-200.0,0.987361
384,-200.0,0.987328
385,-200.0,0.987295
386,-200.0,0.987262
387,-200.0,0.987229
388,-200.0,0.987196
389,-200.0,0.987163
390,-200.0,0.98713
391,-200.0,0.987097
392,-200.0,0.987064
393,-200.0,0.987031
394,-200.0,0.986998
395,-200.0,0.986965
396,-200.0,0.986932
397,-200.0,0.986899
398,-200.0,0.986866
399,-200.0,0.986833
400,-200.0,0.9868
401,-200.0,0.986767
402,-200.0,0.986734
403,-200.0,0.986701
404,-200.0,0.986668
405,-200.0,0.986635
406,-200.0,0.986602
407,-200.0,0.986569
408,-200.0,0.986536
409,-200.0,0.986503
410,-200.0,0.98647
411,-200.0,0.986437
412,-200.0,0.986404
413,-200.0,0.986371
414,-200.0,0.986338
415,-200.0,0.986305
416,-200.0,0.986272
417,-200.0,0.986239
418,-200.0,0.986206
419,-200.0,0.986173
420,-200.0,0.98614
421,-200.0,0.986107
422,-200.0,0.986074
423,-200.0,0.986041
424,-200.0,0.986008
425,-200.0,0.985975
426,-200.0,0.985942
427,-200.0,0.985909
428,-200.0,0.985876
429,-200.0,0.985843
430,-200.0,0.98581
431,-200.0,0.985777
432,-200.0,0.985744
433,-200.0,0.985711
434,-200.0,0.985678
435,-200.0,0.985645
436,-200.0,0.985612
437,-200.0,0.985579
438,-200.0,0.985546
439,-200.0,0.985513
440,-200.0,0.98548
441,-200.0,0.985447
442,-200.0,0.985414
443,-200.0,0.985381
444,-200.0,0.985348
445,-200.0,0.985315
446,-200.0,0.985282
447,-200.0,0.985249
448,-200.0,0.985216
449,-200.0,0.985183
450,-200.0,0.98515
451,-200.0,0.985117
452,-200.0,0.985084
453,-200.0,0.985051
454,-200.0,0.985018
455,-200.0,0.984985
456,-200.0,0.984952
457,-200.0,0.984919
458,-200.0,0.984886
459,-200.0,0.984853
460,-200.0,0.98482
461,-200.0,0.984787
462,-200.0,0.984754
463,-200.0,0.984721
464,-200.0,0.984688
465,-200.0,0.984655
466,-200.0,0.984622
467,-200.0,0.984589
468,-200.0,0.984556
469,-200.0,0.984523
470,-200.0,0.98449
471,-200.0,0.984457
472,-200.0,0.984424
473,-200.0,0.984391
474,-200.0,0.984358
475,-200.0,0.984325
476,-200.0,0.984292
477,-200.0,0.984259
478,-200.0,0.984226
479,-200.0,0.984193
480,-200.0,0.98416
481,-200.0,0.984127
482,-200.0,0.984094
483,-200.0,0.984061
484,-200.0,0.984028
485,-200.0,0.983995
486,-200.0,0.983962
487,-200.0,0.983929
488,-200.0,0.983896
489,-200.0,0.983863
490,-200.0,0.98383
491,-200.0,0.983797
492,-200.0,0.983764
493,-200.0,0.983731
494,-200.0,0.983698
495,-200.0,0.983665
496,-200.0,0.983632
497,-200.0,0.983599
498,-200.0,0.983566
499,-200.0,0.983533
500,-200.0,0.9835
501,-200.0,0.983467
502,-200.0,0.983434
503,-200.0,0.983401
504,-200.0,0.983368
505,-200.0,0.983335
506,-200.0,0.983302
507,-200.0,0.983269
508,-200.0,0.983236
509,-200.0,0.983203
510,-200.0,0.98317
511,-200.0,0.983137
512,-200.0,0.983104
513,-200.0,0.983071
514,-200.0,0.983038
515,-200.0,0.983005
516,-200.0,0.982972
517,-200.0,0.982939
518,-200.0,0.982906
519,-200.0,0.982873
520,-200.0,0.98284
521,-200.0,0.982807
522,-200.0,0.982774
523,-200.0,0.982741
524,-200.0,0.982708
525,-200.0,0.982675
526,-200.0,0.982642
527,-200.0,0.982609
528,-200.0,0.982576
529,-200.0,0.9825429999999999
530,-200.0,0.98251
531,-200.0,0.982477
532,-200.0,0.982444
533,-200.0,0.982411
534,-200.0,0.982378
535,-200.0,0.982345
536,-200.0,0.982312
537,-200.0,0.982279
538,-200.0,0.982246
539,-200.0,0.982213
540,-200.0,0.98218
541,-200.0,0.982147
542,-200.0,0.982114
543,-200.0,0.982081
544,-200.0,0.982048
545,-200.0,0.982015
546,-200.0,0.981982
547,-200.0,0.981949
548,-200.0,0.981916
549,-200.0,0.981883
550,-200.0,0.98185
551,-200.0,0.981817
552,-200.0,0.981784
553,-200.0,0.981751
554,-200.0,0.981718
555,-200.0,0.981685
556,-200.0,0.981652
557,-200.0,0.981619
558,-200.0,0.981586
559,-200.0,0.981553
560,-200.0,0.98152
561,-200.0,0.981487
562,-200.0,0.981454
563,-200.0,0.981421
564,-200.0,0.981388
565,-200.0,0.981355
566,-200.0,0.981322
567,-200.0,0.981289
568,-200.0,0.981256
569,-200.0,0.981223
570,-200.0,0.98119
571,-200.0,0.981157
