Episode,Reward,Epsilon
0,-200.0,1.0
1,-200.0,1.0
2,-200.0,1.0
3,-200.0,1.0
4,-200.0,1.0
5,-200.0,1.0
6,-200.0,1.0
7,-200.0,1.0
8,-200.0,1.0
9,-200.0,1.0
10,-200.0,1.0
11,-200.0,1.0
12,-200.0,1.0
13,-200.0,1.0
14,-200.0,1.0
15,-200.0,1.0
16,-200.0,1.0
17,-200.0,1.0
18,-200.0,1.0
19,-200.0,1.0
20,-200.0,1.0
21,-200.0,1.0
22,-200.0,1.0
23,-200.0,1.0
24,-200.0,1.0
25,-200.0,1.0
26,-200.0,1.0
27,-200.0,1.0
28,-200.0,1.0
29,-200.0,1.0
30,-200.0,1.0
31,-200.0,1.0
32,-200.0,1.0
33,-200.0,1.0
34,-200.0,1.0
35,-200.0,1.0
36,-200.0,1.0
37,-200.0,1.0
38,-200.0,1.0
39,-200.0,1.0
40,-200.0,1.0
41,-200.0,1.0
42,-200.0,1.0
43,-200.0,1.0
44,-200.0,1.0
45,-200.0,1.0
46,-200.0,1.0
47,-200.0,1.0
48,-200.0,1.0
49,-200.0,1.0
50,-200.0,1.0
51,-200.0,1.0
52,-200.0,1.0
53,-200.0,1.0
54,-200.0,1.0
55,-200.0,1.0
56,-200.0,1.0
57,-200.0,1.0
58,-200.0,1.0
59,-200.0,1.0
60,-200.0,1.0
61,-200.0,1.0
62,-200.0,1.0
63,-200.0,1.0
64,-200.0,1.0
65,-200.0,0.999967
66,-200.0,0.999934
67,-200.0,0.999901
68,-200.0,0.999868
69,-200.0,0.999835
70,-200.0,0.999802
71,-200.0,0.999769
72,-200.0,0.999736
73,-200.0,0.999703
74,-200.0,0.99967
75,-200.0,0.999637
76,-200.0,0.999604
77,-200.0,0.999571
78,-200.0,0.999538
79,-200.0,0.999505
80,-200.0,0.999472
81,-200.0,0.999439
82,-200.0,0.999406
83,-200.0,0.999373
84,-200.0,0.99934
85,-200.0,0.999307
86,-200.0,0.999274
87,-200.0,0.999241
88,-200.0,0.999208
89,-200.0,0.999175
90,-200.0,0.999142
91,-200.0,0.999109
92,-200.0,0.999076
93,-200.0,0.999043
94,-200.0,0.99901
95,-200.0,0.998977
96,-200.0,0.998944
97,-200.0,0.998911
98,-200.0,0.998878
99,-200.0,0.998845
100,-200.0,0.998812
101,-200.0,0.998779
102,-200.0,0.998746
103,-200.0,0.998713
104,-200.0,0.99868
105,-200.0,0.998647
106,-200.0,0.998614
107,-200.0,0.998581
108,-200.0,0.998548
109,-200.0,0.998515
110,-200.0,0.998482
111,-200.0,0.998449
112,-200.0,0.998416
113,-200.0,0.998383
114,-200.0,0.99835
115,-200.0,0.998317
116,-200.0,0.998284
117,-200.0,0.998251
118,-200.0,0.998218
119,-200.0,0.998185
120,-200.0,0.998152
121,-200.0,0.998119
122,-200.0,0.998086
123,-200.0,0.998053
124,-200.0,0.99802
125,-200.0,0.997987
126,-200.0,0.997954
127,-200.0,0.997921
128,-200.0,0.997888
129,-200.0,0.997855
130,-200.0,0.997822
131,-200.0,0.997789
132,-200.0,0.997756
133,-200.0,0.997723
134,-200.0,0.99769
135,-200.0,0.997657
136,-200.0,0.997624
137,-200.0,0.997591
138,-200.0,0.997558
139,-200.0,0.997525
140,-200.0,0.997492
141,-200.0,0.997459
142,-200.0,0.997426
143,-200.0,0.997393
144,-200.0,0.99736
145,-200.0,0.997327
146,-200.0,0.997294
147,-200.0,0.997261
148,-200.0,0.997228
149,-200.0,0.997195
150,-200.0,0.997162
151,-200.0,0.997129
152,-200.0,0.997096
153,-200.0,0.997063
154,-200.0,0.99703
155,-200.0,0.996997
156,-200.0,0.996964
157,-200.0,0.996931
158,-200.0,0.996898
159,-200.0,0.996865
160,-200.0,0.996832
161,-200.0,0.996799
162,-200.0,0.996766
163,-200.0,0.996733
164,-200.0,0.9967
165,-200.0,0.996667
166,-200.0,0.996634
167,-200.0,0.996601
168,-200.0,0.996568
169,-200.0,0.996535
170,-200.0,0.996502
171,-200.0,0.996469
172,-200.0,0.996436
173,-200.0,0.996403
174,-200.0,0.99637
175,-200.0,0.996337
176,-200.0,0.996304
177,-200.0,0.996271
178,-200.0,0.996238
179,-200.0,0.996205
180,-200.0,0.996172
181,-200.0,0.996139
182,-200.0,0.996106
183,-200.0,0.996073
184,-200.0,0.99604
185,-200.0,0.996007
186,-200.0,0.995974
187,-200.0,0.995941
188,-200.0,0.995908
189,-200.0,0.995875
190,-200.0,0.995842
191,-200.0,0.9958089999999999
192,-200.0,0.995776
193,-200.0,0.995743
194,-200.0,0.99571
195,-200.0,0.995677
196,-200.0,0.995644
197,-200.0,0.995611
198,-200.0,0.995578
199,-200.0,0.995545
200,-200.0,0.995512
201,-200.0,0.995479
202,-200.0,0.995446
203,-200.0,0.995413
204,-200.0,0.99538
205,-200.0,0.995347
206,-200.0,0.995314
207,-200.0,0.995281
208,-200.0,0.995248
209,-200.0,0.995215
210,-200.0,0.995182
211,-200.0,0.995149
212,-200.0,0.995116
213,-200.0,0.995083
214,-200.0,0.99505
215,-200.0,0.995017
216,-200.0,0.994984
217,-200.0,0.994951
218,-200.0,0.994918
219,-200.0,0.994885
220,-200.0,0.994852
221,-200.0,0.994819
222,-200.0,0.994786
223,-200.0,0.994753
224,-200.0,0.99472
225,-200.0,0.994687
226,-200.0,0.994654
227,-200.0,0.994621
228,-200.0,0.994588
229,-200.0,0.994555
230,-200.0,0.994522
231,-200.0,0.994489
232,-200.0,0.994456
233,-200.0,0.994423
234,-200.0,0.99439
235,-200.0,0.994357
236,-200.0,0.994324
237,-200.0,0.994291
238,-200.0,0.994258
239,-200.0,0.994225
240,-200.0,0.994192
241,-200.0,0.994159
242,-200.0,0.994126
243,-200.0,0.994093
244,-200.0,0.9940599999999999
245,-200.0,0.994027
246,-200.0,0.993994
247,-200.0,0.993961
248,-200.0,0.993928
249,-200.0,0.993895
250,-200.0,0.993862
251,-200.0,0.993829
252,-200.0,0.993796
253,-200.0,0.993763
254,-200.0,0.99373
255,-200.0,0.993697
256,-200.0,0.993664
257,-200.0,0.993631
258,-200.0,0.993598
259,-200.0,0.993565
260,-200.0,0.993532
261,-200.0,0.993499
262,-200.0,0.993466
263,-200.0,0.993433
264,-200.0,0.9934
265,-200.0,0.993367
266,-200.0,0.993334
267,-200.0,0.993301
268,-200.0,0.993268
269,-200.0,0.993235
270,-200.0,0.993202
271,-200.0,0.993169
272,-200.0,0.993136
273,-200.0,0.993103
274,-200.0,0.99307
275,-200.0,0.993037
276,-200.0,0.993004
277,-200.0,0.992971
278,-200.0,0.992938
279,-200.0,0.992905
280,-200.0,0.992872
281,-200.0,0.992839
282,-200.0,0.992806
283,-200.0,0.992773
284,-200.0,0.99274
285,-200.0,0.992707
286,-200.0,0.992674
287,-200.0,0.992641
288,-200.0,0.992608
289,-200.0,0.992575
290,-200.0,0.992542
291,-200.0,0.992509
292,-200.0,0.992476
293,-200.0,0.992443
294,-200.0,0.99241
295,-200.0,0.992377
296,-200.0,0.992344
297,-200.0,0.992311
298,-200.0,0.992278
299,-200.0,0.992245
300,-200.0,0.992212
301,-200.0,0.992179
302,-200.0,0.992146
303,-200.0,0.992113
304,-200.0,0.99208
305,-200.0,0.992047
306,-200.0,0.992014
307,-200.0,0.991981
308,-200.0,0.991948
309,-200.0,0.991915
310,-200.0,0.991882
311,-200.0,0.991849
312,-200.0,0.991816
313,-200.0,0.991783
314,-200.0,0.99175
315,-200.0,0.991717
316,-200.0,0.991684
317,-200.0,0.991651
318,-200.0,0.991618
319,-200.0,0.991585
320,-200.0,0.991552
321,-200.0,0.991519
322,-200.0,0.991486
323,-200.0,0.991453
324,-200.0,0.99142
325,-200.0,0.991387
326,-200.0,0.991354
327,-200.0,0.991321
328,-200.0,0.991288
329,-200.0,0.991255
330,-200.0,0.991222
331,-200.0,0.991189
332,-200.0,0.991156
333,-200.0,0.991123
334,-200.0,0.99109
335,-200.0,0.991057
336,-200.0,0.991024
337,-200.0,0.990991
338,-200.0,0.990958
339,-200.0,0.990925
340,-200.0,0.990892
341,-200.0,0.990859
342,-200.0,0.990826
343,-200.0,0.990793
344,-200.0,0.99076
345,-200.0,0.990727
346,-200.0,0.990694
347,-200.0,0.990661
348,-200.0,0.990628
349,-200.0,0.990595
350,-200.0,0.990562
351,-200.0,0.990529
352,-200.0,0.990496
353,-200.0,0.990463
354,-200.0,0.99043
355,-200.0,0.990397
356,-200.0,0.990364
357,-200.0,0.990331
358,-200.0,0.990298
359,-200.0,0.990265
360,-200.0,0.990232
361,-200.0,0.990199
362,-200.0,0.990166
363,-200.0,0.990133
364,-200.0,0.9901
365,-200.0,0.990067
366,-200.0,0.990034
367,-200.0,0.990001
368,-200.0,0.989968
369,-200.0,0.989935
370,-200.0,0.989902
371,-200.0,0.989869
372,-200.0,0.989836
373,-200.0,0.989803
374,-200.0,0.98977
375,-200.0,0.989737
376,-200.0,0.989704
377,-200.0,0.989671
378,-200.0,0.989638
379,-200.0,0.989605
380,-200.0,0.989572
381,-200.0,0.989539
382,-200.0,0.989506
383,-200.0,0.989473
384,-200.0,0.98944
385,-200.0,0.989407
386,-200.0,0.989374
387,-200.0,0.989341
388,-200.0,0.989308
389,-200.0,0.989275
390,-200.0,0.989242
391,-200.0,0.989209
392,-200.0,0.989176
393,-200.0,0.989143
394,-200.0,0.98911
395,-200.0,0.989077
396,-200.0,0.989044
397,-200.0,0.989011
398,-200.0,0.988978
399,-200.0,0.988945
400,-200.0,0.988912
401,-200.0,0.988879
402,-200.0,0.988846
403,-200.0,0.988813
404,-200.0,0.98878
405,-200.0,0.988747
406,-200.0,0.988714
407,-200.0,0.988681
408,-200.0,0.988648
409,-200.0,0.988615
410,-200.0,0.988582
411,-200.0,0.988549
412,-200.0,0.988516
413,-200.0,0.988483
414,-200.0,0.98845
415,-200.0,0.988417
416,-200.0,0.988384
417,-200.0,0.988351
418,-200.0,0.988318
419,-200.0,0.988285
420,-200.0,0.988252
421,-200.0,0.988219
422,-200.0,0.988186
423,-200.0,0.988153
424,-200.0,0.98812
425,-200.0,0.988087
426,-200.0,0.988054
427,-200.0,0.988021
428,-200.0,0.987988
429,-200.0,0.987955
430,-200.0,0.987922
431,-200.0,0.987889
432,-200.0,0.987856
433,-200.0,0.987823
434,-200.0,0.98779
435,-200.0,0.987757
436,-200.0,0.987724
437,-200.0,0.987691
438,-200.0,0.987658
439,-200.0,0.987625
440,-200.0,0.987592
441,-200.0,0.987559
442,-200.0,0.987526
443,-200.0,0.987493
444,-200.0,0.98746
445,-200.0,0.987427
446,-200.0,0.987394
447,-200.0,0.987361
448,-200.0,0.987328
449,-200.0,0.987295
450,-200.0,0.987262
451,-200.0,0.987229
452,-200.0,0.987196
453,-200.0,0.987163
454,-200.0,0.98713
455,-200.0,0.987097
456,-200.0,0.987064
