Episode,Reward,Epsilon
0,-200.0,1.0
1,-200.0,1.0
2,-200.0,1.0
3,-200.0,1.0
4,-200.0,1.0
5,-200.0,1.0
6,-200.0,1.0
7,-200.0,1.0
8,-200.0,1.0
9,-200.0,1.0
10,-200.0,1.0
11,-200.0,1.0
12,-200.0,1.0
13,-200.0,1.0
14,-200.0,1.0
15,-200.0,1.0
16,-200.0,1.0
17,-200.0,1.0
18,-200.0,1.0
19,-200.0,1.0
20,-200.0,1.0
21,-200.0,1.0
22,-200.0,1.0
23,-200.0,1.0
24,-200.0,1.0
25,-200.0,1.0
26,-200.0,1.0
27,-200.0,1.0
28,-200.0,1.0
29,-200.0,1.0
30,-200.0,1.0
31,-200.0,1.0
32,-200.0,1.0
33,-200.0,1.0
34,-200.0,1.0
35,-200.0,1.0
36,-200.0,1.0
37,-200.0,1.0
38,-200.0,1.0
39,-200.0,1.0
40,-200.0,1.0
41,-200.0,1.0
42,-200.0,1.0
43,-200.0,1.0
44,-200.0,1.0
45,-200.0,1.0
46,-200.0,1.0
47,-200.0,1.0
48,-200.0,1.0
49,-200.0,1.0
50,-200.0,1.0
51,-200.0,1.0
52,-200.0,1.0
53,-200.0,1.0
54,-200.0,1.0
55,-200.0,1.0
56,-200.0,1.0
57,-200.0,1.0
58,-200.0,1.0
59,-200.0,1.0
60,-200.0,1.0
61,-200.0,1.0
62,-200.0,1.0
63,-200.0,1.0
64,-200.0,1.0
65,-200.0,0.9999999972858588
66,-200.0,0.9999999891434352
67,-200.0,0.9999999755727292
68,-200.0,0.9999999565737413
69,-200.0,0.9999999321464713
70,-200.0,0.9999999022909196
71,-200.0,0.9999998670070867
72,-200.0,0.9999998262949727
73,-200.0,0.9999997801545782
74,-200.0,0.9999997285859038
75,-200.0,0.9999996715889499
76,-200.0,0.9999996091637172
77,-200.0,0.9999995413102063
78,-200.0,0.9999994680284181
79,-200.0,0.9999993893183532
80,-200.0,0.9999993051800128
81,-200.0,0.9999992156133973
82,-200.0,0.9999991206185082
83,-200.0,0.9999990201953463
84,-200.0,0.9999989143439129
85,-200.0,0.9999988030642086
86,-200.0,0.9999986863562352
87,-200.0,0.9999985642199939
88,-200.0,0.9999984366554858
89,-200.0,0.9999983036627125
90,-200.0,0.9999981652416753
91,-200.0,0.9999980213923758
92,-200.0,0.9999978721148156
93,-200.0,0.9999977174089963
94,-200.0,0.9999975572749199
95,-200.0,0.9999973917125875
96,-200.0,0.9999972207220015
97,-200.0,0.9999970443031634
98,-200.0,0.9999968624560754
99,-200.0,0.9999966751807394
100,-200.0,0.9999964824771573
101,-200.0,0.9999962843453316
102,-200.0,0.9999960807852641
103,-200.0,0.9999958717969573
104,-200.0,0.9999956573804131
105,-200.0,0.9999954375356342
106,-200.0,0.999995212262623
107,-200.0,0.9999949815613819
108,-200.0,0.9999947454319134
109,-200.0,0.9999945038742201
110,-200.0,0.9999942568883046
111,-200.0,0.9999940044741696
112,-200.0,0.9999937466318181
113,-200.0,0.9999934833612526
114,-200.0,0.9999932146624763
115,-200.0,0.9999929405354918
116,-200.0,0.9999926609803026
117,-200.0,0.9999923759969112
118,-200.0,0.999992085585321
119,-200.0,0.9999917897455354
120,-200.0,0.9999914884775573
121,-200.0,0.99999118178139
122,-200.0,0.9999908696570371
123,-200.0,0.9999905521045019
124,-200.0,0.9999902291237878
125,-200.0,0.9999899007148986
126,-200.0,0.9999895668778377
127,-200.0,0.9999892276126088
128,-200.0,0.9999888829192155
129,-200.0,0.9999885327976618
130,-200.0,0.9999881772479513
131,-200.0,0.9999878162700881
132,-200.0,0.9999874498640762
133,-200.0,0.9999870780299195
134,-200.0,0.999986700767622
135,-200.0,0.9999863180771881
136,-200.0,0.9999859299586217
137,-200.0,0.9999855364119269
138,-200.0,0.9999851374371087
139,-200.0,0.9999847330341709
140,-200.0,0.9999843232031183
141,-200.0,0.9999839079439549
142,-200.0,0.9999834872566857
143,-200.0,0.9999830611413152
144,-200.0,0.999982629597848
145,-200.0,0.9999821926262887
146,-200.0,0.9999817502266425
147,-200.0,0.9999813023989139
148,-200.0,0.9999808491431081
149,-200.0,0.9999803904592296
150,-200.0,0.999979926347284
151,-200.0,0.9999794568072761
152,-200.0,0.9999789818392109
153,-200.0,0.9999785014430939
154,-200.0,0.9999780156189302
155,-200.0,0.9999775243667252
156,-200.0,0.9999770276864842
157,-200.0,0.9999765255782127
158,-200.0,0.9999760180419162
159,-200.0,0.9999755050776004
160,-200.0,0.9999749866852706
161,-200.0,0.9999744628649329
162,-200.0,0.9999739336165927
163,-200.0,0.9999733989402559
164,-200.0,0.9999728588359285
165,-200.0,0.9999723133036162
166,-200.0,0.9999717623433253
167,-200.0,0.9999712059550615
168,-200.0,0.999970644138831
169,-200.0,0.9999700768946402
170,-200.0,0.9999695042224951
171,-200.0,0.9999689261224018
172,-200.0,0.999968342594367
173,-200.0,0.999967753638397
174,-200.0,0.999967159254498
175,-200.0,0.9999665594426769
176,-200.0,0.99996595420294
177,-200.0,0.9999653435352941
178,-200.0,0.9999647274397458
179,-200.0,0.9999641059163019
180,-200.0,0.9999634789649692
181,-200.0,0.9999628465857546
182,-200.0,0.999962208778665
183,-200.0,0.9999615655437074
184,-200.0,0.9999609168808891
185,-200.0,0.9999602627902167
186,-200.0,0.9999596032716976
187,-200.0,0.9999589383253392
188,-200.0,0.9999582679511488
189,-200.0,0.9999575921491335
190,-200.0,0.9999569109193008
191,-200.0,0.9999562242616583
192,-200.0,0.9999555321762135
193,-200.0,0.9999548346629737
194,-200.0,0.9999541317219469
195,-200.0,0.9999534233531406
196,-200.0,0.9999527095565629
197,-200.0,0.9999519903322212
198,-200.0,0.9999512656801236
199,-200.0,0.999950535600278
200,-200.0,0.9999498000926925
201,-200.0,0.999949059157375
202,-200.0,0.9999483127943337
203,-200.0,0.9999475610035767
204,-200.0,0.9999468037851126
205,-200.0,0.9999460411389492
206,-200.0,0.9999452730650954
207,-200.0,0.999944499563559
208,-200.0,0.999943720634349
209,-200.0,0.9999429362774739
210,-200.0,0.999942146492942
211,-200.0,0.9999413512807621
212,-200.0,0.9999405506409429
213,-200.0,0.9999397445734932
214,-200.0,0.999938933078422
215,-200.0,0.999938116155738
216,-200.0,0.9999372938054502
217,-200.0,0.9999364660275676
218,-200.0,0.9999356328220994
219,-200.0,0.9999347941890545
220,-200.0,0.9999339501284424
221,-200.0,0.9999331006402723
222,-200.0,0.9999322457245532
223,-200.0,0.9999313853812947
224,-200.0,0.9999305196105063
225,-200.0,0.9999296484121974
226,-200.0,0.9999287717863776
227,-200.0,0.9999278897330565
228,-200.0,0.9999270022522438
229,-200.0,0.9999261093439491
230,-200.0,0.9999252110081823
231,-200.0,0.9999243072449533
232,-200.0,0.9999233980542719
233,-200.0,0.9999224834361481
234,-200.0,0.999921563390592
235,-200.0,0.9999206379176135
236,-200.0,0.999919707017223
237,-200.0,0.9999187706894306
238,-200.0,0.9999178289342466
239,-200.0,0.9999168817516813
240,-200.0,0.9999159291417449
241,-200.0,0.9999149711044482
242,-200.0,0.9999140076398015
243,-200.0,0.9999130387478153
244,-200.0,0.9999120644285004
245,-200.0,0.9999110846818675
246,-200.0,0.9999100995079271
247,-200.0,0.9999091089066903
248,-200.0,0.9999081128781676
249,-200.0,0.9999071114223703
250,-200.0,0.9999061045393092
251,-200.0,0.9999050922289953
252,-200.0,0.9999040744914399
253,-200.0,0.999903051326654
254,-200.0,0.9999020227346488
255,-200.0,0.9999009887154354
256,-200.0,0.9998999492690256
257,-200.0,0.9998989043954306
258,-200.0,0.9998978540946618
259,-200.0,0.9998967983667306
260,-200.0,0.9998957372116488
261,-200.0,0.999894670629428
262,-200.0,0.9998935986200798
263,-200.0,0.999892521183616
264,-200.0,0.9998914383200486
265,-200.0,0.999890350029389
266,-200.0,0.9998892563116496
267,-200.0,0.9998881571668422
268,-200.0,0.9998870525949789
269,-200.0,0.9998859425960718
270,-200.0,0.9998848271701329
271,-200.0,0.9998837063171748
272,-200.0,0.9998825800372095
273,-200.0,0.9998814483302495
274,-200.0,0.9998803111963072
275,-200.0,0.9998791686353949
276,-200.0,0.9998780206475252
277,-200.0,0.9998768672327109
278,-200.0,0.9998757083909643
279,-200.0,0.9998745441222983
280,-200.0,0.9998733744267259
281,-200.0,0.9998721993042594
282,-200.0,0.9998710187549121
283,-200.0,0.9998698327786969
284,-200.0,0.9998686413756267
285,-200.0,0.9998674445457145
286,-200.0,0.9998662422889736
287,-200.0,0.9998650346054171
288,-200.0,0.9998638214950583
289,-200.0,0.9998626029579103
290,-200.0,0.9998613789939867
291,-200.0,0.9998601496033007
292,-200.0,0.9998589147858661
293,-200.0,0.9998576745416962
294,-200.0,0.9998564288708047
295,-200.0,0.9998551777732051
296,-200.0,0.9998539212489113
297,-200.0,0.999852659297937
298,-200.0,0.999851391920296
299,-200.0,0.9998501191160024
300,-200.0,0.99984884088507
301,-200.0,0.9998475572275127
302,-200.0,0.9998462681433449
303,-200.0,0.9998449736325804
304,-200.0,0.9998436736952335
305,-200.0,0.9998423683313186
306,-200.0,0.9998410575408497
307,-200.0,0.9998397413238417
308,-200.0,0.9998384196803085
309,-200.0,0.9998370926102649
310,-200.0,0.9998357601137253
311,-200.0,0.9998344221907045
312,-200.0,0.999833078841217
313,-200.0,0.9998317300652775
314,-200.0,0.9998303758629008
315,-200.0,0.999829016234102
316,-200.0,0.9998276511788957
317,-200.0,0.9998262806972971
318,-200.0,0.9998249047893211
319,-200.0,0.9998235234549828
320,-200.0,0.9998221366942974
321,-200.0,0.9998207445072801
322,-200.0,0.999819346893946
323,-200.0,0.9998179438543107
324,-200.0,0.9998165353883893
325,-200.0,0.9998151214961977
326,-200.0,0.9998137021777508
327,-200.0,0.9998122774330647
328,-200.0,0.9998108472621546
329,-200.0,0.9998094116650366
330,-200.0,0.9998079706417259
331,-200.0,0.9998065241922389
332,-200.0,0.999805072316591
333,-200.0,0.9998036150147984
334,-200.0,0.999802152286877
335,-200.0,0.9998006841328428
336,-200.0,0.9997992105527118
337,-200.0,0.9997977315465005
338,-200.0,0.9997962471142249
339,-200.0,0.9997947572559012
340,-200.0,0.9997932619715458
341,-200.0,0.9997917612611752
342,-200.0,0.9997902551248057
343,-200.0,0.9997887435624538
344,-200.0,0.9997872265741363
345,-200.0,0.9997857041598698
346,-200.0,0.9997841763196706
347,-200.0,0.9997826430535561
348,-200.0,0.9997811043615427
349,-200.0,0.9997795602436472
350,-200.0,0.9997780106998868
351,-200.0,0.9997764557302783
352,-200.0,0.9997748953348388
353,-200.0,0.9997733295135856
354,-200.0,0.9997717582665354
355,-200.0,0.9997701815937059
356,-200.0,0.9997685994951143
357,-200.0,0.9997670119707778
358,-200.0,0.9997654190207139
359,-200.0,0.99976382064494
360,-200.0,0.9997622168434738
