Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-200.0,-200.0,-200.0
5000,-200.0,-200.0,-200.0
5500,-200.0,-200.0,-200.0
6000,-200.0,-200.0,-200.0
6500,-200.0,-200.0,-200.0
7000,-200.0,-200.0,-200.0
7500,-200.0,-200.0,-200.0
8000,-200.0,-200.0,-200.0
8500,-200.0,-200.0,-200.0
9000,-200.0,-200.0,-200.0
9500,-200.0,-200.0,-200.0
10000,-200.0,-200.0,-200.0
10500,-200.0,-200.0,-200.0
11000,-200.0,-200.0,-200.0
11500,-200.0,-200.0,-200.0
12000,-199.906,-200.0,-162.0
12500,-199.824,-200.0,-169.0
13000,-199.0,-200.0,-153.0
13500,-198.322,-200.0,-158.0
14000,-197.726,-200.0,-154.0
14500,-195.844,-200.0,-157.0
15000,-192.4,-200.0,-153.0
15500,-190.036,-200.0,-142.0
16000,-184.666,-200.0,-142.0
16500,-180.036,-200.0,-138.0
17000,-173.266,-200.0,-118.0
17500,-172.254,-200.0,-119.0
18000,-169.088,-200.0,-119.0
18500,-165.396,-200.0,-115.0
19000,-160.904,-200.0,-117.0
19500,-158.076,-200.0,-112.0
20000,-154.544,-200.0,-119.0
20500,-153.738,-200.0,-114.0
21000,-153.252,-200.0,-89.0
21500,-151.678,-200.0,-90.0
22000,-144.958,-200.0,-100.0
22500,-135.772,-200.0,-87.0
23000,-140.798,-200.0,-87.0
23500,-133.66,-200.0,-86.0
24000,-129.258,-200.0,-86.0
24500,-129.966,-200.0,-86.0
25000,-127.322,-200.0,-84.0
25500,-128.57,-200.0,-83.0
26000,-125.116,-200.0,-84.0
26500,-114.722,-200.0,-84.0
27000,-113.81,-200.0,-85.0
27500,-111.702,-197.0,-84.0
28000,-114.872,-200.0,-84.0
28500,-111.528,-200.0,-85.0
29000,-108.752,-200.0,-87.0
29500,-113.13,-200.0,-87.0
30000,-108.886,-190.0,-87.0
30500,-109.66,-200.0,-88.0
31000,-110.6,-200.0,-89.0
31500,-112.324,-200.0,-90.0
32000,-115.016,-200.0,-90.0
32500,-110.692,-200.0,-89.0
33000,-113.532,-198.0,-90.0
33500,-116.816,-200.0,-90.0
34000,-121.318,-200.0,-92.0
34500,-119.44,-200.0,-86.0
35000,-117.762,-188.0,-84.0
35500,-112.21,-200.0,-85.0
36000,-115.72,-200.0,-84.0
36500,-137.194,-200.0,-84.0
37000,-131.668,-200.0,-83.0
37500,-131.22,-200.0,-83.0
38000,-125.782,-200.0,-83.0
38500,-125.82,-200.0,-83.0
39000,-119.186,-200.0,-83.0
39500,-124.156,-200.0,-83.0
40000,-120.68,-200.0,-83.0
40500,-116.738,-200.0,-83.0
41000,-111.41,-200.0,-83.0
41500,-120.234,-200.0,-84.0
42000,-139.88,-200.0,-89.0
42500,-113.522,-196.0,-87.0
43000,-125.94,-200.0,-97.0
43500,-132.516,-200.0,-104.0
44000,-129.192,-200.0,-88.0
44500,-116.84,-200.0,-87.0
45000,-128.16,-200.0,-85.0
45500,-119.834,-200.0,-86.0
46000,-128.914,-200.0,-85.0
46500,-130.026,-200.0,-85.0
47000,-126.234,-200.0,-85.0
47500,-146.102,-200.0,-87.0
48000,-119.74,-200.0,-84.0
48500,-108.91,-200.0,-84.0
49000,-113.71,-200.0,-83.0
49500,-118.072,-200.0,-84.0
