Episode,Avg_Reward,Min_Reward,Max_Reward
0,-200.0,-200.0,-200.0
500,-200.0,-200.0,-200.0
1000,-200.0,-200.0,-200.0
1500,-200.0,-200.0,-200.0
2000,-200.0,-200.0,-200.0
2500,-200.0,-200.0,-200.0
3000,-200.0,-200.0,-200.0
3500,-200.0,-200.0,-200.0
4000,-200.0,-200.0,-200.0
4500,-200.0,-200.0,-200.0
5000,-200.0,-200.0,-200.0
5500,-200.0,-200.0,-200.0
6000,-200.0,-200.0,-200.0
6500,-200.0,-200.0,-200.0
7000,-200.0,-200.0,-200.0
7500,-200.0,-200.0,-200.0
8000,-200.0,-200.0,-200.0
8500,-200.0,-200.0,-200.0
9000,-200.0,-200.0,-200.0
9500,-200.0,-200.0,-200.0
10000,-200.0,-200.0,-200.0
10500,-199.286,-200.0,-138.0
11000,-179.338,-200.0,-120.0
11500,-159.174,-200.0,-109.0
12000,-152.206,-200.0,-90.0
12500,-145.052,-200.0,-98.0
13000,-150.378,-200.0,-95.0
13500,-148.666,-200.0,-102.0
14000,-152.318,-200.0,-89.0
14500,-152.328,-200.0,-108.0
15000,-154.856,-200.0,-117.0
15500,-155.084,-200.0,-101.0
16000,-154.272,-200.0,-95.0
16500,-153.338,-200.0,-93.0
17000,-153.014,-200.0,-95.0
17500,-153.526,-200.0,-122.0
18000,-149.406,-200.0,-114.0
18500,-155.924,-200.0,-113.0
19000,-155.67,-200.0,-107.0
19500,-161.338,-200.0,-90.0
20000,-155.494,-200.0,-99.0
20500,-117.204,-200.0,-84.0
21000,-108.556,-200.0,-84.0
21500,-117.558,-200.0,-83.0
22000,-109.504,-200.0,-84.0
22500,-115.974,-200.0,-83.0
23000,-112.954,-199.0,-83.0
23500,-110.914,-200.0,-83.0
24000,-109.614,-200.0,-84.0
24500,-111.144,-200.0,-84.0
25000,-108.562,-200.0,-85.0
25500,-110.896,-200.0,-84.0
26000,-108.774,-200.0,-83.0
26500,-112.942,-200.0,-84.0
27000,-111.526,-200.0,-83.0
27500,-112.224,-200.0,-83.0
28000,-116.774,-200.0,-83.0
28500,-123.962,-200.0,-84.0
29000,-126.336,-200.0,-84.0
29500,-124.97,-200.0,-85.0
30000,-116.222,-197.0,-85.0
30500,-106.68,-200.0,-84.0
31000,-103.04,-200.0,-83.0
31500,-102.754,-200.0,-83.0
32000,-103.04,-184.0,-83.0
32500,-101.342,-169.0,-83.0
33000,-103.042,-200.0,-83.0
33500,-105.518,-200.0,-83.0
34000,-103.848,-200.0,-83.0
34500,-103.532,-176.0,-84.0
35000,-104.488,-200.0,-84.0
35500,-108.412,-200.0,-83.0
36000,-104.47,-170.0,-84.0
36500,-102.92,-163.0,-84.0
37000,-123.818,-200.0,-84.0
37500,-120.016,-200.0,-83.0
38000,-110.93,-200.0,-83.0
38500,-107.94,-200.0,-83.0
39000,-109.538,-200.0,-83.0
39500,-104.996,-183.0,-83.0
40000,-102.108,-152.0,-83.0
40500,-108.9,-200.0,-83.0
41000,-114.158,-200.0,-83.0
41500,-108.484,-200.0,-83.0
42000,-103.566,-200.0,-83.0
42500,-105.89,-200.0,-83.0
43000,-109.888,-200.0,-83.0
43500,-103.862,-181.0,-83.0
44000,-105.518,-187.0,-83.0
44500,-104.31,-190.0,-83.0
45000,-110.692,-200.0,-84.0
45500,-115.088,-200.0,-83.0
46000,-111.488,-191.0,-83.0
46500,-126.564,-200.0,-83.0
47000,-132.802,-200.0,-84.0
47500,-122.25,-200.0,-83.0
48000,-130.792,-200.0,-87.0
48500,-113.202,-200.0,-83.0
49000,-123.372,-200.0,-84.0
49500,-116.21,-198.0,-86.0
