Episode,Avg_Reward,Min_Reward,Max_Reward
500,21.994,8.0,84.0
1000,21.554,8.0,78.0
1500,21.56,8.0,85.0
2000,21.106,8.0,99.0
2500,22.334,9.0,76.0
3000,21.646,8.0,100.0
3500,23.602,9.0,83.0
4000,23.426,8.0,83.0
4500,22.712,9.0,92.0
5000,22.546,9.0,74.0
5500,22.952,9.0,102.0
6000,21.22,8.0,68.0
6500,22.368,8.0,95.0
7000,22.028,9.0,82.0
7500,21.278,9.0,82.0
8000,21.984,8.0,81.0
8500,22.498,8.0,81.0
9000,21.81,8.0,81.0
9500,21.702,9.0,75.0
10000,22.298,8.0,87.0
10500,19.004,9.0,96.0
11000,26.194,8.0,85.0
11500,24.12,9.0,82.0
12000,23.656,9.0,78.0
12500,27.158,9.0,74.0
13000,25.202,9.0,94.0
13500,25.144,9.0,95.0
14000,28.422,8.0,94.0
14500,26.942,9.0,99.0
15000,26.086,9.0,98.0
15500,27.752,9.0,98.0
16000,26.454,8.0,99.0
16500,26.46,9.0,97.0
17000,27.572,8.0,97.0
17500,25.922,8.0,106.0
18000,29.33,9.0,97.0
18500,29.49,9.0,100.0
19000,30.218,9.0,98.0
19500,30.194,9.0,98.0
20000,32.48,9.0,98.0
20500,69.882,9.0,100.0
21000,73.11,9.0,106.0
21500,84.536,14.0,339.0
22000,36.806,16.0,182.0
22500,18.826,9.0,32.0
23000,14.102,9.0,33.0
23500,17.91,9.0,41.0
24000,16.796,9.0,47.0
24500,16.456,9.0,45.0
25000,16.662,9.0,45.0
25500,15.356,9.0,44.0
26000,16.628,8.0,53.0
26500,17.118,9.0,46.0
27000,21.224,9.0,76.0
27500,22.136,9.0,68.0
28000,21.194,9.0,71.0
28500,27.084,9.0,76.0
29000,27.634,8.0,92.0
29500,19.382,9.0,89.0
30000,24.9,9.0,92.0
30500,20.072,9.0,92.0
31000,21.812,10.0,91.0
31500,27.34,9.0,93.0
32000,26.298,9.0,92.0
32500,28.522,10.0,94.0
33000,60.976,9.0,95.0
33500,82.592,10.0,101.0
34000,101.7,8.0,500.0
34500,109.792,89.0,142.0
35000,240.938,124.0,500.0
35500,499.686,343.0,500.0
36000,500.0,500.0,500.0
36500,500.0,500.0,500.0
37000,318.154,15.0,500.0
37500,187.608,16.0,500.0
38000,114.98,13.0,263.0
38500,101.566,16.0,130.0
39000,94.896,14.0,106.0
39500,98.998,14.0,108.0
40000,106.13,20.0,121.0
40500,164.988,110.0,500.0
41000,61.728,8.0,500.0
41500,65.808,8.0,500.0
42000,51.38,12.0,236.0
42500,42.232,12.0,108.0
43000,14.288,10.0,90.0
43500,64.186,9.0,500.0
44000,276.926,11.0,500.0
44500,118.474,11.0,144.0
45000,395.394,112.0,500.0
45500,500.0,500.0,500.0
46000,164.326,10.0,500.0
46500,11.782,9.0,16.0
47000,10.772,8.0,15.0
47500,12.72,8.0,500.0
48000,9.358,8.0,11.0
48500,9.454,8.0,12.0
49000,9.378,8.0,13.0
49500,9.398,8.0,12.0
50000,9.414,8.0,12.0
