Episode,Avg_Reward,Min_Reward,Max_Reward
500,22.022,8.0,86.0
1000,22.924,8.0,82.0
1500,22.898,8.0,100.0
2000,23.194,8.0,75.0
2500,22.67,9.0,104.0
3000,22.974,9.0,118.0
3500,23.61,8.0,86.0
4000,23.168,9.0,90.0
4500,23.394,8.0,115.0
5000,22.202,8.0,98.0
5500,22.888,8.0,107.0
6000,20.444,8.0,73.0
6500,18.974,9.0,71.0
7000,19.652,9.0,64.0
7500,20.174,8.0,81.0
8000,19.976,8.0,74.0
8500,19.746,8.0,72.0
9000,20.88,8.0,125.0
9500,19.762,8.0,74.0
10000,20.456,9.0,72.0
10500,19.338,9.0,75.0
11000,18.402,8.0,84.0
11500,18.794,8.0,91.0
12000,17.788,8.0,63.0
12500,18.044,8.0,54.0
13000,18.402,9.0,93.0
13500,17.386,8.0,58.0
14000,17.976,9.0,76.0
14500,17.816,9.0,105.0
15000,18.104,8.0,101.0
15500,16.998,9.0,46.0
16000,18.476,8.0,66.0
16500,18.232,9.0,93.0
17000,17.342,9.0,69.0
17500,18.046,8.0,80.0
18000,17.248,9.0,64.0
18500,17.88,9.0,68.0
19000,17.97,9.0,64.0
19500,18.356,8.0,67.0
20000,17.934,8.0,72.0
20500,19.626,8.0,63.0
21000,17.788,9.0,58.0
21500,19.936,9.0,76.0
22000,20.244,9.0,66.0
22500,20.338,9.0,67.0
23000,22.01,9.0,80.0
23500,20.722,9.0,91.0
24000,22.896,9.0,70.0
24500,23.53,9.0,92.0
25000,24.644,9.0,81.0
25500,26.92,8.0,88.0
26000,25.332,9.0,92.0
26500,28.278,10.0,71.0
27000,30.684,9.0,89.0
27500,34.696,10.0,88.0
28000,36.9,10.0,93.0
28500,40.794,10.0,99.0
29000,41.612,10.0,93.0
29500,56.272,10.0,94.0
30000,35.594,10.0,96.0
30500,59.164,10.0,95.0
31000,60.376,11.0,94.0
31500,41.358,11.0,93.0
32000,32.802,10.0,94.0
32500,43.972,10.0,95.0
33000,19.844,11.0,91.0
33500,52.898,10.0,94.0
34000,66.428,10.0,93.0
34500,73.612,10.0,94.0
35000,59.074,10.0,94.0
35500,54.378,10.0,94.0
36000,63.436,11.0,93.0
36500,62.114,10.0,93.0
37000,68.73,11.0,96.0
37500,56.834,10.0,95.0
38000,61.822,12.0,95.0
38500,55.37,13.0,95.0
39000,96.308,39.0,500.0
39500,10.182,8.0,45.0
40000,9.372,8.0,12.0
40500,9.438,8.0,13.0
41000,10.258,8.0,68.0
41500,113.264,9.0,500.0
42000,84.222,48.0,128.0
42500,58.85,33.0,95.0
43000,93.468,28.0,131.0
43500,94.612,49.0,122.0
44000,65.006,33.0,114.0
44500,55.486,19.0,104.0
45000,47.624,23.0,100.0
45500,65.162,20.0,100.0
46000,57.212,19.0,98.0
46500,43.794,16.0,96.0
47000,47.924,16.0,96.0
47500,68.028,17.0,97.0
48000,87.762,20.0,154.0
48500,363.798,8.0,500.0
49000,9.452,8.0,12.0
49500,9.396,8.0,12.0
50000,9.444,8.0,15.0
