Episode,Avg_Reward,Min_Reward,Max_Reward
500,22.736,8.0,93.0
1000,21.934,9.0,91.0
1500,22.674,8.0,88.0
2000,23.062,8.0,99.0
2500,23.156,8.0,113.0
3000,22.748,8.0,95.0
3500,22.924,8.0,116.0
4000,22.56,8.0,104.0
4500,22.224,8.0,150.0
5000,21.732,8.0,84.0
5500,20.22,9.0,97.0
6000,21.516,9.0,83.0
6500,20.996,8.0,97.0
7000,21.98,8.0,71.0
7500,22.118,8.0,82.0
8000,21.354,8.0,91.0
8500,22.05,8.0,92.0
9000,21.352,8.0,106.0
9500,21.174,8.0,97.0
10000,19.812,8.0,77.0
10500,19.8,9.0,89.0
11000,19.024,9.0,75.0
11500,19.124,8.0,62.0
12000,19.39,8.0,67.0
12500,17.76,9.0,96.0
13000,18.522,9.0,72.0
13500,17.982,8.0,60.0
14000,18.036,9.0,68.0
14500,17.86,8.0,65.0
15000,17.71,9.0,74.0
15500,17.564,9.0,98.0
16000,18.79,9.0,104.0
16500,17.93,9.0,64.0
17000,18.336,8.0,59.0
17500,18.994,8.0,96.0
18000,19.532,8.0,86.0
18500,20.096,9.0,82.0
19000,19.272,9.0,74.0
19500,21.144,9.0,65.0
20000,21.29,9.0,81.0
20500,21.658,9.0,96.0
21000,24.918,9.0,93.0
21500,23.962,9.0,90.0
22000,27.33,9.0,91.0
22500,28.558,9.0,95.0
23000,33.324,9.0,96.0
23500,33.434,9.0,92.0
24000,35.84,9.0,98.0
24500,40.572,8.0,97.0
25000,47.88,9.0,102.0
25500,48.418,9.0,97.0
26000,64.174,9.0,113.0
26500,62.322,9.0,500.0
27000,19.534,9.0,44.0
27500,48.042,10.0,97.0
28000,50.65,9.0,103.0
28500,49.834,9.0,98.0
29000,44.53,9.0,97.0
29500,41.932,10.0,98.0
30000,45.624,10.0,96.0
30500,44.424,9.0,96.0
31000,48.12,9.0,95.0
31500,59.848,11.0,98.0
32000,78.198,12.0,108.0
32500,93.47,16.0,133.0
33000,278.978,83.0,500.0
33500,498.298,14.0,500.0
34000,497.078,13.0,500.0
34500,185.676,11.0,500.0
35000,120.996,10.0,165.0
35500,107.006,10.0,137.0
36000,90.588,10.0,116.0
36500,88.478,10.0,112.0
37000,94.898,11.0,107.0
37500,102.226,11.0,112.0
38000,106.546,10.0,118.0
38500,121.874,108.0,142.0
39000,150.916,130.0,173.0
39500,179.006,15.0,190.0
40000,144.368,11.0,183.0
40500,107.508,11.0,180.0
41000,136.68,11.0,500.0
41500,126.984,10.0,174.0
42000,130.24,11.0,160.0
42500,115.424,11.0,164.0
43000,112.954,13.0,166.0
43500,105.934,12.0,169.0
44000,82.144,13.0,182.0
44500,152.516,11.0,500.0
45000,117.774,12.0,234.0
45500,101.754,12.0,310.0
46000,92.306,12.0,145.0
46500,78.712,13.0,144.0
47000,237.512,13.0,500.0
47500,167.106,12.0,500.0
48000,133.462,12.0,500.0
48500,25.838,11.0,119.0
49000,75.518,9.0,500.0
49500,73.84,10.0,409.0
50000,107.706,10.0,466.0
