Episode,Avg_Reward,Min_Reward,Max_Reward
500,22.802,8.0,101.0
1000,21.944,9.0,76.0
1500,106.01,8.0,469.0
2000,168.974,10.0,500.0
2500,145.758,11.0,500.0
3000,225.096,13.0,500.0
3500,472.5,20.0,500.0
4000,492.718,16.0,500.0
4500,429.238,11.0,500.0
5000,423.27,33.0,500.0
5500,473.166,10.0,500.0
6000,370.97,9.0,500.0
6500,435.036,10.0,500.0
7000,428.394,12.0,500.0
7500,384.536,9.0,500.0
8000,433.008,10.0,500.0
8500,464.11,9.0,500.0
9000,331.204,11.0,500.0
9500,354.332,11.0,500.0
10000,380.122,9.0,500.0
10500,472.372,131.0,500.0
11000,444.738,11.0,500.0
11500,163.48,10.0,500.0
12000,143.484,22.0,449.0
12500,446.838,11.0,500.0
13000,498.154,22.0,500.0
13500,413.468,11.0,500.0
14000,434.338,15.0,500.0
14500,437.528,13.0,500.0
15000,382.642,15.0,500.0
15500,201.452,10.0,500.0
16000,440.926,154.0,500.0
16500,408.95,9.0,500.0
17000,284.678,9.0,500.0
17500,470.922,97.0,500.0
18000,385.606,15.0,500.0
18500,495.766,14.0,500.0
19000,383.248,9.0,500.0
19500,366.264,14.0,500.0
20000,338.218,10.0,500.0
20500,388.02,10.0,500.0
21000,349.242,10.0,500.0
21500,334.506,12.0,500.0
22000,396.024,9.0,500.0
22500,377.782,10.0,500.0
23000,213.924,15.0,500.0
23500,308.558,27.0,500.0
24000,340.916,8.0,500.0
24500,413.478,10.0,500.0
25000,439.85,9.0,500.0
25500,361.648,9.0,500.0
26000,420.394,15.0,500.0
26500,243.208,9.0,500.0
27000,261.374,17.0,500.0
27500,402.978,10.0,500.0
28000,326.166,11.0,500.0
28500,443.67,13.0,500.0
29000,384.096,10.0,500.0
29500,374.36,13.0,500.0
30000,340.166,11.0,500.0
30500,314.274,9.0,500.0
31000,356.008,11.0,500.0
31500,429.932,11.0,500.0
32000,362.818,11.0,500.0
32500,343.972,11.0,500.0
33000,216.22,8.0,500.0
33500,419.28,120.0,500.0
34000,404.246,23.0,500.0
34500,265.004,9.0,500.0
35000,438.37,139.0,500.0
35500,434.332,10.0,500.0
36000,327.308,9.0,500.0
36500,433.76,10.0,500.0
37000,352.724,10.0,500.0
37500,424.264,23.0,500.0
38000,367.38,10.0,500.0
38500,302.212,9.0,500.0
39000,355.274,15.0,500.0
39500,439.85,11.0,500.0
40000,321.39,9.0,500.0
40500,440.216,13.0,500.0
41000,256.618,10.0,500.0
41500,345.69,11.0,500.0
42000,454.106,9.0,500.0
42500,303.46,10.0,500.0
43000,198.738,16.0,500.0
43500,354.932,10.0,500.0
44000,445.896,16.0,500.0
44500,268.226,8.0,500.0
45000,212.032,11.0,500.0
45500,356.188,128.0,500.0
46000,446.244,159.0,500.0
46500,450.844,10.0,500.0
47000,334.11,10.0,500.0
47500,356.158,10.0,500.0
48000,260.342,9.0,500.0
48500,319.84,23.0,500.0
49000,463.172,19.0,500.0
49500,183.314,9.0,500.0
50000,367.058,98.0,500.0
