Episode,Reward,Epsilon
1,46.0,1.0
2,26.0,1.0
3,16.0,1.0
4,8.0,1.0
5,18.0,1.0
6,18.0,1.0
7,37.0,1.0
8,25.0,1.0
9,15.0,1.0
10,14.0,1.0
11,15.0,1.0
12,11.0,1.0
13,14.0,1.0
14,10.0,1.0
15,20.0,1.0
16,11.0,1.0
17,37.0,1.0
18,12.0,1.0
19,33.0,1.0
20,40.0,1.0
21,24.0,1.0
22,19.0,1.0
23,16.0,1.0
24,12.0,1.0
25,10.0,1.0
26,13.0,1.0
27,19.0,1.0
28,15.0,1.0
29,28.0,1.0
30,40.0,1.0
31,18.0,1.0
32,30.0,1.0
33,51.0,1.0
34,10.0,1.0
35,15.0,1.0
36,21.0,1.0
37,13.0,1.0
38,13.0,1.0
39,15.0,1.0
40,10.0,1.0
41,21.0,1.0
42,12.0,1.0
43,33.0,1.0
44,33.0,1.0
45,13.0,1.0
46,15.0,1.0
47,20.0,1.0
48,16.0,1.0
49,19.0,1.0
50,45.0,1.0
51,21.0,1.0
52,17.0,1.0
53,17.0,1.0
54,14.0,1.0
55,32.0,1.0
56,26.0,1.0
57,13.0,1.0
58,19.0,1.0
59,19.0,1.0
60,30.0,1.0
61,37.0,1.0
62,17.0,1.0
63,22.0,1.0
64,32.0,1.0
65,35.0,1.0
66,31.0,1.0
67,13.0,1.0
68,29.0,1.0
69,10.0,1.0
70,15.0,1.0
71,11.0,1.0
72,11.0,1.0
73,18.0,1.0
74,30.0,1.0
75,48.0,1.0
76,29.0,1.0
77,23.0,1.0
78,13.0,1.0
79,19.0,1.0
80,13.0,1.0
81,32.0,1.0
82,13.0,1.0
83,11.0,1.0
84,18.0,1.0
85,13.0,1.0
86,18.0,1.0
87,35.0,1.0
88,28.0,1.0
89,49.0,1.0
90,74.0,1.0
91,45.0,1.0
92,11.0,1.0
93,16.0,1.0
94,34.0,1.0
95,20.0,1.0
96,13.0,1.0
97,11.0,1.0
98,29.0,1.0
99,14.0,1.0
100,21.0,1.0
101,13.0,1.0
102,15.0,1.0
103,84.0,1.0
104,16.0,1.0
105,14.0,1.0
106,22.0,1.0
107,30.0,1.0
108,22.0,1.0
109,42.0,1.0
110,13.0,1.0
111,31.0,1.0
112,19.0,1.0
113,22.0,1.0
114,27.0,1.0
115,18.0,1.0
116,12.0,1.0
117,21.0,1.0
118,17.0,1.0
119,17.0,1.0
120,12.0,1.0
121,20.0,1.0
122,15.0,1.0
123,9.0,1.0
124,32.0,1.0
125,15.0,1.0
126,11.0,1.0
127,9.0,1.0
128,14.0,1.0
129,22.0,1.0
130,16.0,1.0
131,10.0,1.0
132,18.0,1.0
133,26.0,1.0
134,21.0,1.0
135,16.0,1.0
136,32.0,1.0
137,25.0,1.0
138,33.0,1.0
139,21.0,1.0
140,46.0,1.0
141,28.0,1.0
142,17.0,1.0
143,19.0,1.0
144,11.0,1.0
