Episode,Avg_Reward,Min_Reward,Max_Reward
500,21.878,8.0,80.0
1000,22.004,8.0,64.0
1500,32.364,9.0,196.0
2000,30.884,9.0,146.0
2500,27.604,8.0,176.0
3000,33.664,9.0,272.0
3500,27.208,8.0,124.0
4000,27.574,9.0,104.0
4500,27.894,9.0,112.0
5000,33.946,9.0,132.0
5500,38.76,10.0,276.0
6000,36.722,9.0,126.0
6500,33.41,8.0,102.0
7000,39.536,8.0,110.0
7500,62.126,10.0,268.0
8000,31.25,8.0,103.0
8500,39.192,9.0,98.0
9000,36.778,8.0,97.0
9500,46.978,9.0,99.0
10000,54.162,9.0,104.0
10500,68.968,10.0,108.0
11000,99.374,10.0,226.0
11500,98.496,29.0,208.0
12000,114.23,29.0,500.0
12500,468.318,144.0,500.0
13000,499.526,329.0,500.0
13500,495.142,11.0,500.0
14000,500.0,500.0,500.0
14500,450.5,11.0,500.0
15000,147.494,12.0,500.0
15500,285.07,12.0,500.0
16000,344.066,13.0,500.0
16500,237.674,81.0,500.0
17000,214.602,75.0,500.0
17500,459.654,107.0,500.0
18000,442.078,11.0,500.0
18500,366.81,9.0,500.0
19000,415.48,10.0,500.0
19500,256.644,8.0,500.0
20000,190.79,9.0,500.0
20500,414.254,17.0,500.0
21000,356.566,32.0,500.0
21500,497.404,14.0,500.0
22000,313.958,9.0,500.0
22500,247.152,9.0,500.0
23000,493.522,20.0,500.0
23500,208.052,10.0,500.0
24000,273.21,10.0,500.0
24500,168.316,9.0,500.0
25000,111.482,19.0,465.0
25500,216.496,12.0,500.0
26000,498.044,205.0,500.0
26500,455.024,9.0,500.0
27000,170.278,9.0,500.0
27500,297.108,11.0,500.0
28000,378.642,10.0,500.0
28500,209.724,9.0,500.0
29000,153.2,9.0,500.0
29500,412.502,11.0,500.0
30000,288.45,10.0,500.0
30500,148.96,13.0,500.0
31000,352.488,19.0,500.0
31500,224.2,9.0,500.0
32000,195.74,9.0,500.0
32500,449.316,12.0,500.0
33000,175.266,10.0,500.0
33500,162.51,8.0,500.0
34000,137.944,10.0,500.0
34500,442.034,14.0,500.0
35000,488.116,10.0,500.0
35500,309.288,9.0,500.0
36000,415.87,10.0,500.0
36500,133.69,9.0,500.0
37000,232.806,54.0,500.0
37500,300.314,10.0,500.0
38000,158.986,9.0,500.0
38500,246.34,9.0,500.0
39000,413.458,9.0,500.0
39500,414.226,9.0,500.0
40000,455.278,10.0,500.0
40500,283.874,9.0,500.0
41000,338.726,11.0,500.0
41500,187.938,8.0,500.0
42000,147.054,13.0,500.0
42500,215.51,11.0,500.0
43000,468.756,12.0,500.0
43500,341.948,8.0,500.0
44000,409.43,9.0,500.0
44500,44.962,8.0,500.0
45000,187.012,12.0,500.0
45500,248.982,10.0,500.0
46000,493.612,152.0,500.0
46500,394.542,9.0,500.0
47000,141.016,8.0,500.0
47500,228.424,9.0,500.0
48000,292.79,9.0,500.0
48500,226.846,9.0,500.0
49000,193.06,8.0,500.0
49500,300.252,9.0,500.0
50000,395.322,11.0,500.0
