Episode,Reward,Epsilon
1,33.0,1.0
2,10.0,0.999967
3,30.0,0.999934
4,21.0,0.999901
5,22.0,0.999868
6,14.0,0.999835
7,29.0,0.999802
8,12.0,0.999769
9,29.0,0.999736
10,46.0,0.999703
11,23.0,0.99967
12,35.0,0.999637
13,13.0,0.999604
14,34.0,0.999571
15,19.0,0.999538
16,14.0,0.999505
17,16.0,0.999472
18,21.0,0.999439
19,17.0,0.999406
20,17.0,0.999373
21,22.0,0.99934
22,57.0,0.999307
23,27.0,0.999274
24,10.0,0.999241
25,17.0,0.999208
26,14.0,0.999175
27,13.0,0.999142
28,12.0,0.999109
29,16.0,0.999076
30,22.0,0.999043
31,25.0,0.99901
32,37.0,0.998977
33,33.0,0.998944
34,15.0,0.998911
35,22.0,0.998878
36,14.0,0.998845
37,33.0,0.998812
38,13.0,0.998779
39,14.0,0.998746
40,14.0,0.998713
41,42.0,0.99868
42,9.0,0.998647
43,12.0,0.998614
44,30.0,0.998581
45,27.0,0.998548
46,25.0,0.998515
47,32.0,0.998482
48,33.0,0.998449
49,12.0,0.998416
50,23.0,0.998383
51,17.0,0.99835
52,53.0,0.998317
53,19.0,0.998284
54,40.0,0.998251
55,22.0,0.998218
56,10.0,0.998185
57,33.0,0.998152
58,18.0,0.998119
59,12.0,0.998086
60,16.0,0.998053
61,15.0,0.99802
62,13.0,0.997987
63,55.0,0.997954
64,9.0,0.997921
65,28.0,0.997888
66,18.0,0.997855
67,27.0,0.997822
68,23.0,0.997789
69,14.0,0.997756
70,25.0,0.997723
71,15.0,0.99769
72,17.0,0.997657
73,11.0,0.997624
74,24.0,0.997591
75,16.0,0.997558
76,9.0,0.997525
77,36.0,0.997492
78,18.0,0.997459
79,14.0,0.997426
80,29.0,0.997393
81,34.0,0.99736
82,30.0,0.997327
83,17.0,0.997294
84,13.0,0.997261
85,30.0,0.997228
86,28.0,0.997195
87,18.0,0.997162
88,24.0,0.997129
89,13.0,0.997096
90,41.0,0.997063
91,12.0,0.99703
92,10.0,0.996997
93,9.0,0.996964
94,55.0,0.996931
95,18.0,0.996898
96,16.0,0.996865
97,13.0,0.996832
98,11.0,0.996799
99,19.0,0.996766
100,20.0,0.996733
101,15.0,0.9967
102,19.0,0.996667
103,18.0,0.996634
104,23.0,0.996601
105,15.0,0.996568
106,12.0,0.996535
107,22.0,0.996502
108,23.0,0.996469
109,10.0,0.996436
110,21.0,0.996403
111,17.0,0.99637
112,10.0,0.996337
113,16.0,0.996304
114,19.0,0.996271
115,23.0,0.996238
116,14.0,0.996205
117,31.0,0.996172
118,32.0,0.996139
119,17.0,0.996106
120,24.0,0.996073
121,27.0,0.99604
122,32.0,0.996007
123,12.0,0.995974
124,17.0,0.995941
125,11.0,0.995908
126,19.0,0.995875
127,32.0,0.995842
128,18.0,0.9958089999999999
129,21.0,0.995776
130,11.0,0.995743
131,22.0,0.99571
132,22.0,0.995677
133,41.0,0.995644
134,21.0,0.995611
135,11.0,0.995578
136,13.0,0.995545
137,24.0,0.995512
138,59.0,0.995479
139,13.0,0.995446
140,22.0,0.995413
141,19.0,0.99538
142,47.0,0.995347
143,28.0,0.995314
144,45.0,0.995281
145,34.0,0.995248
146,17.0,0.995215
147,65.0,0.995182
148,15.0,0.995149
149,11.0,0.995116
150,14.0,0.995083
151,16.0,0.99505
152,10.0,0.995017
153,15.0,0.994984
154,13.0,0.994951
155,30.0,0.994918
156,14.0,0.994885
157,14.0,0.994852
158,17.0,0.994819
159,25.0,0.994786
160,24.0,0.994753
161,12.0,0.99472
162,40.0,0.994687
163,22.0,0.994654
164,27.0,0.994621
165,25.0,0.994588
166,11.0,0.994555
167,37.0,0.994522
168,30.0,0.994489
169,13.0,0.994456
170,22.0,0.994423
171,37.0,0.99439
172,34.0,0.994357
173,14.0,0.994324
174,10.0,0.994291
175,20.0,0.994258
176,18.0,0.994225
177,29.0,0.994192
178,15.0,0.994159
179,18.0,0.994126
180,19.0,0.994093
181,32.0,0.9940599999999999
182,21.0,0.994027
183,12.0,0.993994
184,14.0,0.993961
185,10.0,0.993928
186,19.0,0.993895
187,23.0,0.993862
188,25.0,0.993829
189,11.0,0.993796
190,11.0,0.993763
191,17.0,0.99373
192,37.0,0.993697
193,44.0,0.993664
194,20.0,0.993631
195,15.0,0.993598
196,12.0,0.993565
197,11.0,0.993532
198,15.0,0.993499
199,27.0,0.993466
200,22.0,0.993433
201,20.0,0.9934
202,21.0,0.993367
203,24.0,0.993334
204,12.0,0.993301
205,19.0,0.993268
206,19.0,0.993235
207,18.0,0.993202
208,36.0,0.993169
209,10.0,0.993136
210,18.0,0.993103
211,13.0,0.99307
212,13.0,0.993037
213,16.0,0.993004
214,28.0,0.992971
215,16.0,0.992938
216,12.0,0.992905
217,15.0,0.992872
218,10.0,0.992839
219,10.0,0.992806
220,12.0,0.992773
221,13.0,0.99274
222,21.0,0.992707
223,27.0,0.992674
224,49.0,0.992641
225,17.0,0.992608
226,45.0,0.992575
227,20.0,0.992542
228,26.0,0.992509
229,15.0,0.992476
230,52.0,0.992443
231,9.0,0.99241
232,28.0,0.992377
233,35.0,0.992344
234,9.0,0.992311
235,22.0,0.992278
236,13.0,0.992245
237,24.0,0.992212
238,18.0,0.992179
239,18.0,0.992146
240,13.0,0.992113
241,23.0,0.99208
242,14.0,0.992047
243,16.0,0.992014
244,19.0,0.991981
245,21.0,0.991948
246,25.0,0.991915
247,11.0,0.991882
248,14.0,0.991849
249,35.0,0.991816
250,17.0,0.991783
251,18.0,0.99175
252,42.0,0.991717
253,29.0,0.991684
254,17.0,0.991651
255,40.0,0.991618
256,25.0,0.991585
257,13.0,0.991552
258,23.0,0.991519
259,31.0,0.991486
260,25.0,0.991453
261,37.0,0.99142
262,12.0,0.991387
263,22.0,0.991354
264,29.0,0.991321
265,13.0,0.991288
266,35.0,0.991255
267,14.0,0.991222
268,79.0,0.991189
269,17.0,0.991156
270,9.0,0.991123
271,9.0,0.99109
272,10.0,0.991057
273,42.0,0.991024
274,12.0,0.990991
275,18.0,0.990958
276,39.0,0.990925
277,25.0,0.990892
278,10.0,0.990859
279,16.0,0.990826
280,20.0,0.990793
281,17.0,0.99076
282,16.0,0.990727
283,38.0,0.990694
284,22.0,0.990661
285,36.0,0.990628
286,12.0,0.990595
287,8.0,0.990562
288,22.0,0.990529
289,27.0,0.990496
290,11.0,0.990463
291,16.0,0.99043
292,12.0,0.990397
293,23.0,0.990364
294,18.0,0.990331
295,27.0,0.990298
296,16.0,0.990265
297,31.0,0.990232
298,29.0,0.990199
299,17.0,0.990166
300,19.0,0.990133
301,22.0,0.9901
302,8.0,0.990067
303,13.0,0.990034
304,15.0,0.990001
305,16.0,0.989968
306,16.0,0.989935
307,37.0,0.989902
308,45.0,0.989869
309,29.0,0.989836
310,14.0,0.989803
311,10.0,0.98977
312,50.0,0.989737
313,11.0,0.989704
314,10.0,0.989671
315,28.0,0.989638
316,22.0,0.989605
317,43.0,0.989572
318,15.0,0.989539
319,12.0,0.989506
320,11.0,0.989473
321,15.0,0.98944
322,15.0,0.989407
323,17.0,0.989374
324,16.0,0.989341
325,14.0,0.989308
326,21.0,0.989275
327,36.0,0.989242
328,12.0,0.989209
329,10.0,0.989176
330,17.0,0.989143
331,12.0,0.98911
332,13.0,0.989077
333,39.0,0.989044
334,18.0,0.989011
335,47.0,0.988978
336,16.0,0.988945
337,16.0,0.988912
338,17.0,0.988879
339,40.0,0.988846
340,15.0,0.988813
341,20.0,0.98878
342,32.0,0.988747
343,43.0,0.988714
344,38.0,0.988681
345,12.0,0.988648
346,31.0,0.988615
347,8.0,0.988582
348,64.0,0.988549
349,54.0,0.988516
350,27.0,0.988483
351,26.0,0.98845
352,13.0,0.988417
353,35.0,0.988384
354,15.0,0.988351
355,9.0,0.988318
356,13.0,0.988285
357,21.0,0.988252
358,24.0,0.988219
359,31.0,0.988186
360,60.0,0.988153
361,30.0,0.98812
362,17.0,0.988087
363,24.0,0.988054
364,26.0,0.988021
365,20.0,0.987988
366,15.0,0.987955
367,37.0,0.987922
368,17.0,0.987889
369,12.0,0.987856
370,18.0,0.987823
371,31.0,0.98779
372,35.0,0.987757
373,28.0,0.987724
374,25.0,0.987691
375,18.0,0.987658
376,38.0,0.987625
377,19.0,0.987592
378,24.0,0.987559
379,16.0,0.987526
380,40.0,0.987493
381,8.0,0.98746
382,15.0,0.987427
383,14.0,0.987394
384,15.0,0.987361
385,19.0,0.987328
386,14.0,0.987295
387,20.0,0.987262
388,22.0,0.987229
389,19.0,0.987196
390,28.0,0.987163
391,14.0,0.98713
392,15.0,0.987097
393,25.0,0.987064
394,11.0,0.987031
395,14.0,0.986998
396,24.0,0.986965
397,20.0,0.986932
398,9.0,0.986899
399,10.0,0.986866
400,13.0,0.986833
401,37.0,0.9868
402,26.0,0.986767
403,24.0,0.986734
404,25.0,0.986701
405,18.0,0.986668
406,24.0,0.986635
407,18.0,0.986602
408,14.0,0.986569
409,10.0,0.986536
410,15.0,0.986503
411,18.0,0.98647
412,21.0,0.986437
413,18.0,0.986404
414,61.0,0.986371
415,9.0,0.986338
416,44.0,0.986305
417,19.0,0.986272
418,10.0,0.986239
419,19.0,0.986206
420,19.0,0.986173
421,13.0,0.98614
422,13.0,0.986107
423,15.0,0.986074
424,21.0,0.986041
425,37.0,0.986008
426,86.0,0.985975
427,38.0,0.985942
428,19.0,0.985909
429,21.0,0.985876
430,20.0,0.985843
431,17.0,0.98581
432,40.0,0.985777
433,34.0,0.985744
434,10.0,0.985711
435,23.0,0.985678
436,24.0,0.985645
437,16.0,0.985612
438,14.0,0.985579
439,11.0,0.985546
440,15.0,0.985513
441,10.0,0.98548
442,37.0,0.985447
443,13.0,0.985414
444,13.0,0.985381
445,35.0,0.985348
446,32.0,0.985315
447,13.0,0.985282
448,12.0,0.985249
449,12.0,0.985216
450,27.0,0.985183
451,26.0,0.98515
452,18.0,0.985117
453,13.0,0.985084
454,22.0,0.985051
455,11.0,0.985018
456,22.0,0.984985
457,29.0,0.984952
458,36.0,0.984919
459,21.0,0.984886
460,13.0,0.984853
461,14.0,0.98482
462,12.0,0.984787
463,11.0,0.984754
464,68.0,0.984721
465,12.0,0.984688
466,27.0,0.984655
467,36.0,0.984622
468,35.0,0.984589
